blend_name,origin,variety,notes,intensifier,user_id,dt_current_timestamp
The Blend,"Mount Elgon, Uganda",S288,"astringent, tea-like, toast, cacao nibs, barley",pointed,057474b4-5433-4b0a-8db2-e9e6ec115d9c,2024-01-17 00:03:38
Strong Forrester,"Kigeyo Washing Station, Rwanda",Pink Bourbon,"astringent, tea-like, green grape, wheat, rubber",soft,e46d9355-3713-4304-9327-05d91829d2c2,2024-01-17 00:03:38
The Blend,"Mattari, Yemen",S288,"delicate, coating, sundried tomato, grapefruit, coriander",deep,972f2190-52d9-410e-8d45-71a0246c8669,2024-01-17 00:03:38
Major Solstice,"Kigeyo Washing Station, Rwanda",Liberica,"mild, coating, cinnamon, dill, dates",juicy,3cf49b65-05f9-4f4e-95f8-4dd9a3d94485,2024-01-17 00:03:38
Melty America,"Mount Elgon, Uganda",Pink Bourbon,"astringent, tea-like, green grape, wheat, rubber",soft,1198471c-26ce-44a8-8f05-eb3094f719b8,2024-01-17 00:03:38
Strong Forrester,"Mount Elgon, Uganda",S288,"mild, coating, cinnamon, dill, dates",astringent,bcdbc933-1555-4652-bbea-573877daad0e,2024-01-17 00:03:38
The Blend,"Kigeyo Washing Station, Rwanda",S288,"astringent, tea-like, toast, cacao nibs, barley",astringent,18e0cec4-8fb9-410a-bea3-5a1ed590d3d5,2024-01-17 00:03:38
Melty America,"Granada, Nicaragua",Pink Bourbon,"mild, coating, cinnamon, dill, dates",astringent,bf94f3db-0fe9-4433-be56-0f3b0dac4150,2024-01-17 00:03:38
Strong Forrester,"Mount Elgon, Uganda",Liberica,"astringent, tea-like, green grape, wheat, rubber",pointed,31eb4625-dcd0-496a-b478-c150a654d0a1,2024-01-17 00:03:38
Major Solstice,"Kigeyo Washing Station, Rwanda",Pink Bourbon,"bright, velvety, liquorice, red currant, bakers chocolate",astringent,c7d04d7a-7f50-47b6-86e8-60d6dc98cd93,2024-01-17 00:03:38
Melty America,"Kigeyo Washing Station, Rwanda",Liberica,"mild, coating, cinnamon, dill, dates",pointed,b5cd83ef-e7e6-4ffb-8042-d3932c9a734c,2024-01-17 00:03:38
American Volcano,"Kigeyo Washing Station, Rwanda",Red Bourbon,"delicate, coating, sundried tomato, grapefruit, coriander",juicy,a2280dff-8e78-424b-8565-9cfe3a99e17a,2024-01-17 00:03:38
Melty America,"Sul Minas, Brazil",Java,"delicate, coating, sundried tomato, grapefruit, coriander",soft,8f7d942e-7bed-4fcb-a642-9fb8cee76d0b,2024-01-17 00:03:38
American Volcano,"Mattari, Yemen",Pink Bourbon,"mild, coating, cinnamon, dill, dates",astringent,25d4cb51-6e72-42b3-9f62-9153e345d84d,2024-01-17 00:03:38
American Volcano,"Mount Elgon, Uganda",Pink Bourbon,"astringent, tea-like, toast, cacao nibs, barley",soft,1eb31594-5d59-405f-af3d-4bb0437fd513,2024-01-17 00:03:38
Strong Forrester,"Mount Elgon, Uganda",Liberica,"astringent, tea-like, toast, cacao nibs, barley",deep,46ab8db9-5d23-4784-80e7-de7315f4f81b,2024-01-17 00:03:38
Melty America,"Kigeyo Washing Station, Rwanda",Java,"astringent, tea-like, toast, cacao nibs, barley",soft,cf387bfd-622c-4578-be17-5c47f111d85d,2024-01-17 00:03:38
The Blend,"Granada, Nicaragua",Pink Bourbon,"mild, coating, cinnamon, dill, dates",deep,5a58de8c-1c15-4291-b5e8-63522cfd7523,2024-01-17 00:03:38
Major Solstice,"Kigeyo Washing Station, Rwanda",S288,"astringent, tea-like, green grape, wheat, rubber",astringent,e66262b8-469a-4885-8fd8-dbe6bdc30089,2024-01-17 00:03:38
Strong Forrester,"Mattari, Yemen",Liberica,"delicate, coating, sundried tomato, grapefruit, coriander",astringent,2f5a079d-60ae-455a-8d92-353a4d77c32f,2024-01-17 00:03:38
Melty America,"Mount Elgon, Uganda",Red Bourbon,"mild, coating, cinnamon, dill, dates",astringent,f6d0ef67-5bc0-4f0e-ae3a-0f1a74995912,2024-01-17 00:03:38
American Volcano,"Granada, Nicaragua",Pink Bourbon,"bright, velvety, liquorice, red currant, bakers chocolate",astringent,0c2718b3-cb8c-4bd6-8f47-631b5ed0b252,2024-01-17 00:03:38
American Volcano,"Mattari, Yemen",Liberica,"delicate, coating, sundried tomato, grapefruit, coriander",deep,453438e3-862d-4ace-bfab-6c8f4aac9848,2024-01-17 00:03:38
American Volcano,"Mattari, Yemen",Java,"astringent, tea-like, green grape, wheat, rubber",pointed,4aee740a-b3ab-4fb4-ba91-3e1b6fce86d5,2024-01-17 00:03:38
Strong Forrester,"Mattari, Yemen",S288,"delicate, coating, sundried tomato, grapefruit, coriander",pointed,2131b4a9-04b9-4991-999c-39fddd3d1009,2024-01-17 00:03:38
American Volcano,"Granada, Nicaragua",Red Bourbon,"astringent, tea-like, toast, cacao nibs, barley",deep,88a673ce-2454-47d1-958d-691d0ad2aa5c,2024-01-17 00:03:38
Major Solstice,"Mount Elgon, Uganda",S288,"delicate, coating, sundried tomato, grapefruit, coriander",pointed,73e5adea-92cc-4d0a-bfba-99d3e37f920a,2024-01-17 00:03:38
