blend_name,origin,variety,notes,intensifier,user_id,dt_current_timestamp
American Volcano,"Granada, Nicaragua",Java,"astringent, tea-like, toast, cacao nibs, barley",pointed,add679de-f3e7-4c40-ba6f-d22df3321d57,2024-01-17 00:03:38
Major Solstice,"Sul Minas, Brazil",S288,"mild, coating, cinnamon, dill, dates",astringent,1800609c-23cf-4d9f-8bf4-c7c680b35705,2024-01-17 00:03:38
Major Solstice,"Sul Minas, Brazil",Liberica,"astringent, tea-like, green grape, wheat, rubber",juicy,3f5ac875-17e3-4cdc-aa31-ff75a720e8b6,2024-01-17 00:03:38
Major Solstice,"Mattari, Yemen",Red Bourbon,"delicate, coating, sundried tomato, grapefruit, coriander",juicy,d630d856-0c09-4751-b40f-7f40badd9877,2024-01-17 00:03:38
American Volcano,"Sul Minas, Brazil",Liberica,"bright, velvety, liquorice, red currant, bakers chocolate",pointed,c976dd89-42d8-4628-8366-c82833865487,2024-01-17 00:03:38
American Volcano,"Kigeyo Washing Station, Rwanda",Red Bourbon,"bright, velvety, liquorice, red currant, bakers chocolate",astringent,9ea49d18-9774-4f11-ad9e-0f71bed900c2,2024-01-17 00:03:38
Melty America,"Kigeyo Washing Station, Rwanda",Red Bourbon,"mild, coating, cinnamon, dill, dates",astringent,5586bb21-a407-4f19-99f2-b605b8927e91,2024-01-17 00:03:38
Strong Forrester,"Mount Elgon, Uganda",Pink Bourbon,"astringent, tea-like, toast, cacao nibs, barley",astringent,5a65e9c8-b7aa-4971-8ad5-ad8232796064,2024-01-17 00:03:38
Melty America,"Mount Elgon, Uganda",Java,"astringent, tea-like, toast, cacao nibs, barley",deep,7b4d9344-ad9c-4ff4-badc-0d223f9e2a4d,2024-01-17 00:03:38
Melty America,"Kigeyo Washing Station, Rwanda",Java,"delicate, coating, sundried tomato, grapefruit, coriander",juicy,5798a88a-9121-4536-baa8-1034427911d4,2024-01-17 00:03:38
