id,uid,build_number,manufacturer,model,platform,serial_number,version,user_id,dt_current_timestamp
6652,6ce0e4e3-3be3-47a7-91f3-66f8bfbc8ccc,318,Google,Pixel 4,Android,FEHJxzWz1x6Wui4d,922,67567bda-0ced-4950-930a-862cca02e269,2026-03-05 09:26:00
3411,1ef9dbd0-6f6b-499a-9f5d-422b18f9c57e,192,Samsung,Galaxy S10,Android,7nf2990O7JAM9DS5,396,f8094865-28b7-4e7b-bc15-cbd17366eb2d,2026-03-05 09:26:00
2964,686be21b-cedb-4bda-9274-962f4f9a5afe,312,Google,Pixel 5,Android,W4zxXeB0mTBnHLCA,844,bed3cfa8-5178-4086-a4ab-fca91c1b727e,2026-03-05 09:26:00
2348,9cfc3d67-fa6f-4bca-bf05-de86ec5ac01f,316,Apple,iPhone X,iOS,HBNZFV8FTNFsTZx9,393,799628ac-0921-485d-9362-287d3b35eb47,2026-03-05 09:26:00
8259,526de01a-6915-40ee-9edf-dd4b425e9c27,305,Apple,iPhone X,iOS,LhDEherIj4v2Xu91,993,1fdc3b79-d10e-46d5-932d-609a24d927cf,2026-03-05 09:26:00
8050,bb68accb-9142-4860-b311-82f456579c9e,472,Google,Pixel 4,Android,bpNQ0QStzqmV6D1e,339,e01713d3-ad33-42a1-b61e-46707aad0d62,2026-03-05 09:26:00
1055,6681e5f3-de55-4f18-9893-24caf0f367be,53,HP,ProBook,Windows,9jIos7lvxbgibUs2,278,284d66a1-b07f-4f38-9fff-f258a9c4f527,2026-03-05 09:26:00
8918,b542eb06-a7f8-4bff-af39-3fad5b95f8ff,418,HP,ProBook,Windows,RajQXifkHvV9fbSR,788,cdf92d6c-98f6-44f6-8551-fa94d6baee6d,2026-03-05 09:26:00
2965,dd92d5a3-23f4-4524-ae51-0c8fbb2a4464,441,Samsung,Galaxy S10,Android,NrpkrBcLWlCVAzvC,732,413e5b6a-60f1-4d01-ad4c-91569e0693bd,2026-03-05 09:26:00
5435,22181e43-5eda-4d71-8933-00010ca51cce,435,ASUS,ZenBook,Windows,E8g45rvI8irB7Olp,714,2d89eecd-913d-4589-ba5d-168e99122247,2026-03-05 09:26:00
6414,aeffe783-bd59-4c37-972a-a365e937c2f8,304,Google,Pixel 5,Android,E4vjH3tbuh8uOzxj,511,d1f8bb14-0ece-456d-946b-0cd5006f7b4f,2026-03-05 09:26:00
2517,9542b045-ad97-4f5a-b66a-fc24042cc8e0,311,ASUS,ZenBook,Windows,ml4GgzN9j6rPdeH6,965,c021c365-b932-4e46-b624-6b7947ef55ae,2026-03-05 09:26:00
8404,360e8c83-d1e2-4044-8328-8cfe1c411cfa,478,Samsung,Galaxy S10,Android,xjMs1jnAhLBVb4SL,116,722c7548-2625-4cb3-9d75-a46ec79467d9,2026-03-05 09:26:00
3397,d8f96020-12fb-427b-a5b0-56d6c638643d,284,Apple,iPhone X,iOS,9rZ2bdl347HJXhpA,774,c68b6490-9156-46d4-842b-77ccb03535f1,2026-03-05 09:26:00
6896,5cb4d322-e79b-4348-a7b3-ce93489de603,211,HP,ProBook,Windows,T5XkDvg0B5l3UsjT,716,d3d1a717-572a-4320-aea1-63b9b7e1187c,2026-03-05 09:26:00
9846,0461a1b4-cc6c-434f-9634-df69824e9ebf,137,Apple,iPhone 3GS,iOS,dljubDbXJXucD797,257,fe1acf50-79c2-4abc-a4d6-68c95132e551,2026-03-05 09:26:00
2133,13541f74-02ae-4002-adb3-a3270130d41f,390,Apple,iPhone X,iOS,U13RHTaC7RBgesu6,252,85dcfc8c-9351-49ae-b0ac-8bb96c25829d,2026-03-05 09:26:00
1445,b0e241cf-c626-46ee-9155-733857159fbe,142,ASUS,ZenBook,Windows,EDuZp5GUACplJfdx,499,d73346a9-06d2-4cdd-860e-1794e40b0c41,2026-03-05 09:26:00
5255,93e32e74-bc09-41d6-967b-5b6259c6ede3,497,Samsung,Galaxy S10,Android,QIbBcJIaiHRYOFL1,752,f8c45e7f-912c-4259-b6f0-160ef7cab9ee,2026-03-05 09:26:00
4336,8d4f2d7d-b12d-4379-bea9-c0437262f04b,373,Google,Pixel 4,Android,UxIAckLZB0qXpHI8,472,73c9886a-2147-4495-9463-3da330191558,2026-03-05 09:26:00
5969,4b2f4ac0-90c6-4ecd-baed-bebf3f014a16,362,ASUS,ZenBook,Windows,myvxhIcgAP7gUh9h,386,4e32c830-ece1-424b-b214-cc476906d716,2026-03-05 09:26:00
5351,77d56759-26af-41ff-9f62-02c350c0a994,345,ASUS,ZenBook,Windows,kC9HjbD8H7H3J1p0,246,d8d217cb-3a70-404c-8f01-5e75f7e31500,2026-03-05 09:26:00
9337,dcd656ba-8b59-41d5-be98-bf27ce76199f,139,ASUS,ZenBook,Windows,IxkEPKCgEw12EPqo,409,0aed72e4-b783-4328-9633-25772106e1b1,2026-03-05 09:26:00
1322,7eae9c13-80e4-44e5-acaa-777921850b21,221,Samsung,Galaxy S10,Android,kPat6iPEyedoxrMW,303,bb9172f3-072f-49d7-a62b-6715305e1d42,2026-03-05 09:26:00
6000,ca364dd9-9213-4bbb-9f99-0088d31e4255,417,ASUS,ZenBook,Windows,6pD7CNeYpZkMDW6r,384,55be5e72-dee2-4c9e-8c66-e62fba58e650,2026-03-05 09:26:00
5162,622e4fd3-408f-401e-8d77-6a53ce40052d,251,HP,ProBook,Windows,sbFZ6PQy7x48vnU4,925,dc8151b0-717d-4457-9d87-0d35ecf9b571,2026-03-05 09:26:00
7584,541487b4-2196-4b1b-9ef2-08493c9fec2d,179,Samsung,Galaxy Note 10,Android,ADAidnIr4U2hxFcz,222,a5f1508c-c03d-498e-8dcb-296e2ed19bec,2026-03-05 09:26:00
2944,a13aa473-9a4b-4868-8e52-2b89c2194bc0,146,ASUS,ZenBook,Windows,vR0EGoQQ9jmd6S3V,276,8be40b09-569c-4886-a2c8-890076adb450,2026-03-05 09:26:00
7237,deff9250-344e-4ebe-906a-0809aaf8c2f6,418,ASUS,ZenBook,Windows,z66B7qzvwg6nIkIE,243,3c591c15-ce7c-493c-b7dc-82789e20ae0a,2026-03-05 09:26:00
9573,36c3cb81-97aa-4ed1-9583-0b5787b6c308,457,Apple,iPhone 3GS,iOS,aXOdjHk0PlbVYmlk,334,73a0ea21-152b-45a8-85be-a84e21074c43,2026-03-05 09:26:00
5052,b8a89a42-a8fe-4715-8fdc-65ba347aa119,215,Google,Pixel 5,Android,PabwnzZg04jWHBX1,875,486024df-b73a-4e04-83e9-04cd294f74ee,2026-03-05 09:26:00
4294,59607dc1-8d37-4248-a140-da3b29e2fe40,420,Apple,iPhone 11,iOS,djlL2SJyiTTVtfwS,364,d96f4f7e-5392-49d9-8882-c131b3a709b9,2026-03-05 09:26:00
8980,69a5b7fa-e872-4111-aab7-cdc6cf1e64d7,322,Google,Pixel 5,Android,d2WG9VGYHIEWSekM,345,dd40adcc-f80f-4723-be8d-5c4241a6428e,2026-03-05 09:26:00
3593,c45cb814-f2d8-470b-91db-1271fbc3824b,193,Google,Pixel 4,Android,2sNissI3FEzX2pz0,515,d81100b8-5d08-49aa-ae66-e9e727415c31,2026-03-05 09:26:00
9365,82e73d49-03f2-42d7-8dc7-365e1402a5cc,205,HP,ProBook,Windows,qnZ3ZmS1vyaPQXyE,788,507bd1e6-20b5-4f35-9737-10bf6eb30eca,2026-03-05 09:26:00
2757,9728615d-4f03-4fa4-a7b0-2722120e6504,93,Google,Pixel 4,Android,9IxrzGOgaez8TwJb,647,612bb4c3-b761-42e8-b05f-3ae10d3b7d7a,2026-03-05 09:26:00
6681,aa048139-f271-4ceb-8a55-afc00509998c,145,Samsung,Galaxy S10,Android,FVT00DhGVKgwu0nF,835,0dc91a20-4585-4c42-bac7-23599b925adb,2026-03-05 09:26:00
3920,e1118846-cade-497f-8d71-4ed302c1e938,490,Samsung,Galaxy Note 10,Android,27CVmUxBxX32UfGd,421,08a6b958-e166-42ed-ab67-0a3b5ef483a9,2026-03-05 09:26:00
7833,5e26803c-cc48-4b58-87d6-70f4955fa7cd,99,Samsung,Galaxy Note 10,Android,xqBB1Z41DMCuCtYp,522,72425952-5017-444c-9a03-9501bf08a79e,2026-03-05 09:26:00
9752,1dfe6cf9-a064-4915-bb49-7f4559a3383b,446,HP,EliteBook,Windows,ZqxtMg45BchajvPz,456,a934dd69-5c61-4909-9736-c9c660f8ec57,2026-03-05 09:26:00
