id,uid,plan,status,payment_method,subscription_term,payment_term,user_id,dt_current_timestamp
6887,db757c60-e167-4600-9d7a-95635f766044,Bronze,Active,Paypal,Weekly,Full Subscription,c693482a-c2ec-4178-bab1-f6ec3704849b,2026-03-05 09:26:24
1559,ad44f024-6670-48e2-a6f2-4d28ba83a6b9,Basic,Idle,Money Transfer,Monthly,Payment in Advance,3f7a2b6d-0812-49a7-be48-2b5ce5da9f9c,2026-03-05 09:26:24
9750,dfb979be-bb65-4ff2-a0bb-7ad97a823966,Bronze,Blocked,Credit Card,Lifetime,Monthly Payment,010430a1-0c76-4725-990a-256c1dfe019e,2026-03-05 09:26:24
3046,6faf5e44-2690-43a2-9a9b-af47d8bc7698,Bronze,Idle,Alipay,Weekly,Pay per Use,0dd73d70-947a-4fdf-9da0-c29397f3d89e,2026-03-05 09:26:24
9569,575465a0-7e58-43f3-b77e-9a789175208a,Basic,Cancelled,Credit Card,Weekly,Full Subscription,5a370dbc-130c-48ff-b576-f76afc1fc763,2026-03-05 09:26:24
8516,c250a053-2b81-4533-9639-cf17b9a0dd86,Standard,Blocked,Paypal,Weekly,Full Subscription,e52b4947-8e78-4cac-acec-af0cee129c4e,2026-03-05 09:26:24
2465,e5b1b68c-3342-4312-94a9-df068e588ab4,Gold,Idle,Money Transfer,Monthly,Monthly Payment,caa8e518-c09f-4015-b1fb-aab0c8450c10,2026-03-05 09:26:24
4662,a728f167-e1c9-4e01-829b-3d2912f4d743,Bronze,Cancelled,Money Transfer,Yearly,Pay per Use,65345790-0aaa-4c85-900b-1be7a9d8b158,2026-03-05 09:26:24
1155,29a5a0ee-0696-4064-9a1b-67b892db4e7d,Standard,Blocked,Credit Card,Lifetime,Payment in Advance,2ce1077b-87d8-41e2-9c17-3031b1c51c3e,2026-03-05 09:26:24
6282,b9706127-afa1-42a9-88bf-9fe35559ff52,Standard,Idle,Paypal,Weekly,Monthly Payment,adb9fb9c-4193-47d9-9cd5-8d639a31e914,2026-03-05 09:26:24
2574,fb4de79b-85d0-4b2d-8638-92b709d1a4fd,Bronze,Cancelled,Credit Card,Yearly,Payment in Advance,9030bce8-a058-4a39-aada-42d8fa278937,2026-03-05 09:26:24
4515,50872e73-dad0-481d-b021-2e2e8f474f7b,Standard,Cancelled,Money Transfer,Yearly,Full Subscription,7e042332-7aab-44ae-b995-0e9dcbb707ea,2026-03-05 09:26:24
6720,f39eb7d4-a98b-483e-ae75-c4fa5788e9be,Gold,Idle,Credit Card,Monthly,Payment in Advance,6e738b88-d865-4e17-90ff-9e1e104b873c,2026-03-05 09:26:24
2299,e45139bf-7ce6-494f-8336-00598fccb853,Basic,Cancelled,Money Transfer,Yearly,Pay per Use,8706fc06-22d6-48ee-85eb-45f4fc4c93ee,2026-03-05 09:26:24
9420,69dd023f-4a2d-4032-b09b-4b3b33ae32ff,Platinum,Cancelled,Money Transfer,Lifetime,Payment in Advance,c6309e35-e3ce-4432-b538-3cb821ae4cdb,2026-03-05 09:26:24
4546,fc3d3311-de35-4f75-ba80-c57aac15b745,Basic,Blocked,Money Transfer,Yearly,Pay per Use,73269ed2-1f52-4dc5-8eac-52106b78f0ba,2026-03-05 09:26:24
9406,087ac500-ad3c-4917-a2e2-025ef141d29b,Standard,Idle,Alipay,Monthly,Pay per Use,c4a322cf-721d-46f7-8ad3-9ce6d263445b,2026-03-05 09:26:24
1790,99f845c6-37ae-461e-ae5b-c5842d31343c,Gold,Blocked,Paypal,Weekly,Full Subscription,4484d1bc-2c7e-463b-9658-aa68df2f5623,2026-03-05 09:26:24
4232,4fc5e96f-139f-4216-a989-1551c676cf67,Platinum,Active,Paypal,Monthly,Monthly Payment,f6c3b406-8027-473e-ae59-e79bd6cdbd0f,2026-03-05 09:26:24
2930,6a443c95-e56d-4197-8b01-e39dff755cbc,Platinum,Idle,Credit Card,Lifetime,Full Subscription,5c2217e2-dc2b-4b69-ade4-50eb6bf3388c,2026-03-05 09:26:24
7541,5225e5a4-432d-4b32-b776-8fe3203b64b4,Standard,Blocked,Bitcoins,Quinquennal,Monthly Payment,73709089-53b5-470a-97d5-d98d364eb661,2026-03-05 09:26:24
3073,6b91aae0-b644-481b-8c48-d805f148d430,Basic,Active,Google Pay,Yearly,Pay per Use,9d089b05-407d-4427-b7ef-b7d8f1f8b9fc,2026-03-05 09:26:24
6256,d3e2762b-4da8-4655-a43d-765e97384a0a,Standard,Blocked,Paypal,Quinquennal,Payment in Advance,11399368-be50-4291-a60a-3d6d8237ab74,2026-03-05 09:26:24
5019,a7a22ee7-2613-49c4-beac-1b4626c63162,Gold,Idle,Credit Card,Yearly,Full Subscription,1f1282a8-d58f-498d-a469-e22847dcbe8a,2026-03-05 09:26:24
6448,8be40962-becd-444d-9126-54083712e79a,Basic,Blocked,Bitcoins,Yearly,Pay per Use,55819234-f199-4d31-afb0-f1d59f3297df,2026-03-05 09:26:24
5644,00784ac7-e6b5-44a1-a942-fc610a64eb7c,Standard,Idle,Bitcoins,Monthly,Full Subscription,e51c6fae-43cc-49c8-9ed3-566eec2f57a4,2026-03-05 09:26:24
6704,874490b7-15c1-42a7-bb9b-71e4f7016244,Gold,Active,Money Transfer,Quinquennal,Full Subscription,9675d9f9-2fbf-44a1-a4a0-7e243f31c957,2026-03-05 09:26:24
2606,f7b6de5a-10c1-45e3-9609-267836861258,Basic,Active,Bitcoins,Weekly,Full Subscription,5cc8bbb6-5310-4886-9a7e-fa396ae49c9a,2026-03-05 09:26:24
5734,6c5a1bbc-226c-42b7-8b4c-25b0c718a227,Basic,Idle,Google Pay,Monthly,Pay per Use,78a3f447-84dd-4b76-8323-af6c75f348c1,2026-03-05 09:26:24
3926,ebb4986c-40e5-49a8-ba15-06996b148877,Standard,Cancelled,Money Transfer,Quinquennal,Full Subscription,9c846483-07ed-4506-9fdc-521c22ca6177,2026-03-05 09:26:24
5153,c60d922c-d058-462f-9ac1-667a4d867955,Standard,Idle,Credit Card,Weekly,Full Subscription,24ec6374-c5b7-47d9-b6ce-2a5d292d4077,2026-03-05 09:26:24
8039,279975b6-3f44-4fdb-ae38-d56821d59558,Basic,Active,Credit Card,Quinquennal,Full Subscription,ba4f5227-5679-4f0b-93e4-ddd5957d7e5a,2026-03-05 09:26:24
3741,e33e4880-35b0-441b-92ff-c809b9917d61,Platinum,Cancelled,Alipay,Weekly,Full Subscription,95abc716-3a4d-47bb-95ce-0581027ca531,2026-03-05 09:26:24
2220,3e17ecc3-8485-4d2f-8fce-d021bcd3b23e,Gold,Idle,Paypal,Lifetime,Full Subscription,17bc3e7c-7a16-4b97-8def-6975480d19d6,2026-03-05 09:26:24
6105,0b640731-2d76-485f-8de3-29ee1840fa07,Standard,Idle,Google Pay,Quinquennal,Payment in Advance,3bbe0f08-b620-48e5-a124-bd309f7f7813,2026-03-05 09:26:24
2619,92cbb3ef-3510-40e1-aa9e-ee2f627dbf9a,Gold,Blocked,Money Transfer,Lifetime,Full Subscription,2dfd527f-530b-4d85-9cf5-cf9bc0df2723,2026-03-05 09:26:24
8008,9ff52a78-7aa6-41ac-b717-25902489fac4,Standard,Cancelled,Credit Card,Yearly,Monthly Payment,e35da9f9-de77-4d7a-a129-6004e3f2873c,2026-03-05 09:26:24
3096,13ac0095-9fae-43fc-a713-364196f1039b,Standard,Active,Alipay,Weekly,Full Subscription,b7ccb60f-9fa9-413a-9cdd-13189b926982,2026-03-05 09:26:24
6090,d1a1105b-7544-450e-9d3d-d0c26164f1e0,Gold,Blocked,Alipay,Weekly,Payment in Advance,b7109efd-9046-49bc-8b97-a9edea911f47,2026-03-05 09:26:24
5026,974847f4-33a8-4cf8-af87-0b726ad19ff6,Platinum,Active,Google Pay,Monthly,Monthly Payment,374e1f62-3dcc-4100-9571-14221ece8f39,2026-03-05 09:26:24
7197,41bc274e-1c46-45d8-9fb4-05a54ba6f470,Basic,Cancelled,Bitcoins,Monthly,Full Subscription,29de7946-c892-42cd-b6db-b87b10ab57ed,2026-03-05 09:26:24
8393,201a0846-2214-46d6-b9d9-a332922da822,Basic,Blocked,Bitcoins,Lifetime,Payment in Advance,a51d80d2-fc3d-4307-8ca0-dd44854c38a8,2026-03-05 09:26:24
8208,5ae535af-54db-4357-8477-217c821cac5f,Basic,Idle,Bitcoins,Yearly,Full Subscription,54f06b87-53fb-422d-8dc6-8a5bb64dc3ef,2026-03-05 09:26:24
1524,2ad3557e-ee74-4e34-8982-3c3817079531,Basic,Idle,Alipay,Yearly,Pay per Use,86b6f12f-6fd0-4f68-b805-ad8a36ef264b,2026-03-05 09:26:24
