id,uid,platform,type,os,stack,user_id,dt_current_timestamp
5260,c5daa145-ca94-44e3-bc9c-76cc9df33725,Windows,server,High Sierra (10.13),"Linux, Ubuntu",c693482a-c2ec-4178-bab1-f6ec3704849b,2026-03-05 09:25:48
4873,91487cd2-6a82-44b4-b496-351559be67c9,Windows,workstation,CentOS 8,"Linux, macOS",3f7a2b6d-0812-49a7-be48-2b5ce5da9f9c,2026-03-05 09:25:48
8183,c0a67cb2-42cf-42e8-a361-17e4d25e1786,macOS,server,High Sierra (10.13),"Linux, macOS",010430a1-0c76-4725-990a-256c1dfe019e,2026-03-05 09:25:48
3635,1781b36e-c2c1-4918-bfec-8e205b43fa51,Windows,server,RHEL 7.7,"Linux, Windows",0dd73d70-947a-4fdf-9da0-c29397f3d89e,2026-03-05 09:25:48
3422,515b8ebc-2fdf-4447-9437-d19953924f82,Linux,workstation,CentOS 8,"Linux, macOS",5a370dbc-130c-48ff-b576-f76afc1fc763,2026-03-05 09:25:48
9810,6a0380f1-00b6-4ca0-a39b-8b026a48074f,macOS,server,High Sierra (10.13),"Ubuntu, Windows",e52b4947-8e78-4cac-acec-af0cee129c4e,2026-03-05 09:25:48
8210,ac9540dc-cf5f-4fc7-a03e-791054a2a1fe,macOS,workstation,Windows 10,"RHEL, Linux",caa8e518-c09f-4015-b1fb-aab0c8450c10,2026-03-05 09:25:48
1407,432d7265-60b9-46f3-af45-547a183e908c,macOS,server,CentOS 8,"Ubuntu, RHEL",65345790-0aaa-4c85-900b-1be7a9d8b158,2026-03-05 09:25:48
4002,29bae67a-e8c6-44bf-a72f-ac41291bd858,macOS,server,RHEL 7.7,"macOS, Linux",2ce1077b-87d8-41e2-9c17-3031b1c51c3e,2026-03-05 09:25:48
2185,29b40995-ec19-4f68-adb2-673c10c5aa59,Linux,server,High Sierra (10.13),"Windows, Ubuntu",adb9fb9c-4193-47d9-9cd5-8d639a31e914,2026-03-05 09:25:48
7787,f8485285-12db-4749-be06-448e4df8b8d2,Windows,workstation,High Sierra (10.13),"RHEL, Ubuntu",9030bce8-a058-4a39-aada-42d8fa278937,2026-03-05 09:25:48
8659,80905cdc-5280-4be2-bfd2-94966b19b46d,Linux,server,Ubuntu Desktop 18.04,"RHEL, Linux",7e042332-7aab-44ae-b995-0e9dcbb707ea,2026-03-05 09:25:48
4770,f7ac1750-e148-4604-a547-7345b41bf6ee,Linux,workstation,RHEL 7.7,"Ubuntu, Windows",6e738b88-d865-4e17-90ff-9e1e104b873c,2026-03-05 09:25:48
9434,f684f454-b664-4bf7-8c52-9324efd6e3ca,Linux,workstation,High Sierra (10.13),"Linux, Windows",8706fc06-22d6-48ee-85eb-45f4fc4c93ee,2026-03-05 09:25:48
7102,4e89fdd5-8af5-4c6a-8843-2eeb88e2e860,Linux,workstation,RHEL 7.7,"Ubuntu, RHEL",c6309e35-e3ce-4432-b538-3cb821ae4cdb,2026-03-05 09:25:48
6663,52b06506-d69b-47cf-a1b0-3bfd70ecf284,Windows,workstation,Windows 10,"Ubuntu, macOS",73269ed2-1f52-4dc5-8eac-52106b78f0ba,2026-03-05 09:25:48
