id,uid,platform,type,os,stack,user_id,dt_current_timestamp
8356,32483575-2441-41db-91b0-ee715addae52,Linux,workstation,Windows 10,"macOS, Linux",67567bda-0ced-4950-930a-862cca02e269,2026-03-05 09:25:50
7975,41c02b24-0e81-46ea-8817-361c308220de,Windows,server,CentOS 8,"Linux, RHEL",f8094865-28b7-4e7b-bc15-cbd17366eb2d,2026-03-05 09:25:50
9283,4640b452-5b66-429b-80f8-f8ff79b51c1e,Linux,workstation,High Sierra (10.13),"Ubuntu, Windows",bed3cfa8-5178-4086-a4ab-fca91c1b727e,2026-03-05 09:25:50
5975,eff5b0af-2ea3-4d14-aaea-2d3fd09063c7,Windows,workstation,High Sierra (10.13),"macOS, Linux",799628ac-0921-485d-9362-287d3b35eb47,2026-03-05 09:25:50
2145,d1dd1367-952d-44af-b1a0-c32029b0561b,Windows,workstation,Ubuntu Desktop 18.04,"Windows, Ubuntu",1fdc3b79-d10e-46d5-932d-609a24d927cf,2026-03-05 09:25:50
4909,e065fe93-0de2-4299-a8b9-09e540fec611,macOS,server,High Sierra (10.13),"Linux, Ubuntu",e01713d3-ad33-42a1-b61e-46707aad0d62,2026-03-05 09:25:50
2968,ce0cb9ca-cc0d-4fb6-bb25-8497650bbe19,Windows,workstation,CentOS 8,"Linux, Ubuntu",284d66a1-b07f-4f38-9fff-f258a9c4f527,2026-03-05 09:25:50
4918,9bb2b100-d567-4070-9f77-b07192b7424b,Linux,workstation,CentOS 8,"Windows, Ubuntu",cdf92d6c-98f6-44f6-8551-fa94d6baee6d,2026-03-05 09:25:50
4849,e323a003-2a71-4f47-9219-506edee11061,Windows,workstation,Windows 10,"RHEL, macOS",413e5b6a-60f1-4d01-ad4c-91569e0693bd,2026-03-05 09:25:50
1599,69c1546a-ee8b-47ab-b0fe-5322dee2ab84,Linux,server,Ubuntu Desktop 18.04,"macOS, Linux",2d89eecd-913d-4589-ba5d-168e99122247,2026-03-05 09:25:50
1391,d9d04688-6a10-4f99-9fc0-148edf95be38,macOS,workstation,High Sierra (10.13),"Windows, Ubuntu",d1f8bb14-0ece-456d-946b-0cd5006f7b4f,2026-03-05 09:25:50
6356,c2ac7bf4-7616-4026-a25a-122abf183483,Linux,workstation,High Sierra (10.13),"Windows, macOS",c021c365-b932-4e46-b624-6b7947ef55ae,2026-03-05 09:25:50
4330,a2b1dd25-745a-4cf8-b4e9-15a922df9d43,Linux,server,Windows 10,"macOS, Windows",722c7548-2625-4cb3-9d75-a46ec79467d9,2026-03-05 09:25:50
4000,b8541bdc-5a8e-4001-bd0b-08093b9b02c1,macOS,server,CentOS 8,"RHEL, Linux",c68b6490-9156-46d4-842b-77ccb03535f1,2026-03-05 09:25:50
8612,0b6b2b8b-8d32-4c32-a0b5-38e4f3e6fea5,macOS,server,Ubuntu Desktop 18.04,"Linux, Ubuntu",d3d1a717-572a-4320-aea1-63b9b7e1187c,2026-03-05 09:25:50
2861,d6f144fd-152b-4077-8596-a10aca2b853c,Linux,workstation,RHEL 7.7,"Windows, Linux",fe1acf50-79c2-4abc-a4d6-68c95132e551,2026-03-05 09:25:50
8289,074fa566-8fbd-4390-b995-735dd22f2094,macOS,workstation,CentOS 8,"RHEL, Windows",85dcfc8c-9351-49ae-b0ac-8bb96c25829d,2026-03-05 09:25:50
