id,uid,keywords,user_id,dt_current_timestamp
4776,4e8386d1-e174-486f-bca5-862b5b69af01,"[{""id"": 3094, ""name"": ""war on terror""}, {""id"": 8961, ""name"": ""corruption""}, {""id"": 5642, ""name"": ""mutant""}]",5bd91847-045e-4332-ad74-370463dada90,2026-03-05 09:26:03
2795,7935c70d-620d-409e-a2c5-e1b2bb47e0a4,"[{""id"": 9582, ""name"": ""murder""}, {""id"": 1835, ""name"": ""court""}, {""id"": 397, ""name"": ""marvel comic""}]",e0443817-8bbf-4b11-a984-5de1a4a28d42,2026-03-05 09:26:03
6990,cb5069d5-7cff-4568-bff9-9a32e911fce0,"[{""id"": 5135, ""name"": ""courtroom drama""}]",4e49a9d2-b2f6-42c4-806a-f7a6b685cc97,2026-03-05 09:26:03
7852,4bfd0e3a-6f61-484d-9acd-b236e25620d6,"[{""id"": 9229, ""name"": ""independent film""}]",24ba4213-c0b2-4c5d-af3c-5323f296cd61,2026-03-05 09:26:03
4672,08157414-ac2c-4e02-876c-7f9f43737d38,"[{""id"": 8608, ""name"": ""hip-hop""}, {""id"": 9796, ""name"": ""detective""}, {""id"": 6694, ""name"": ""mutant""}]",46791641-20b6-45f0-a73f-a228daf38c26,2026-03-05 09:26:03
6718,fec397f4-66e3-4abb-a229-8756f486a62e,"[{""id"": 2043, ""name"": ""courtroom drama""}]",43a698f1-b709-476c-b006-9993b6d232b9,2026-03-05 09:26:03
4834,39681ec5-1277-432d-8ffb-e4db02a185ae,"[{""id"": 4247, ""name"": ""economic theory""}, {""id"": 4268, ""name"": ""detective""}]",016e945c-fb93-4ca2-bb86-df8f242fe0eb,2026-03-05 09:26:03
2555,eb2bb69a-b7bb-445e-9748-7dc7d30859e9,"[{""id"": 5644, ""name"": ""hip-hop""}]",65bc9f01-4cdf-4424-92c1-7d68ed8391f5,2026-03-05 09:26:03
5618,13199066-458d-4935-98b4-24da78a9e9dd,"[{""id"": 5616, ""name"": ""corruption""}, {""id"": 1954, ""name"": ""court""}]",b3094d74-b22c-47fe-881c-66626fc376ed,2026-03-05 09:26:03
5950,95eb9a8e-801f-40f4-8910-c6761c4363fb,"[{""id"": 6175, ""name"": ""mutant""}]",4277267a-8b99-4bf1-93d7-486b9d305715,2026-03-05 09:26:03
9881,d94dd62d-d04c-40ae-a83e-dcd71f6cdfda,"[{""id"": 3171, ""name"": ""court""}, {""id"": 5452, ""name"": ""detective""}, {""id"": 950, ""name"": ""murder""}]",4773a063-b937-4eac-be68-b92e3f810bf7,2026-03-05 09:26:03
4792,38845aa7-09e5-4eb0-be21-45f179500b07,"[{""id"": 7049, ""name"": ""courtroom drama""}, {""id"": 5959, ""name"": ""war on terror""}, {""id"": 4702, ""name"": ""marvel comic""}]",2d4e8f7b-72ea-43b3-a06f-35f5480b5081,2026-03-05 09:26:03
