id,uid,dish,description,ingredient,measurement,user_id,dt_current_timestamp
7611,3b3d4e2d-12d6-4b4b-8408-08cf1334b74a,Cheeseburger,"Three eggs with cilantro, tomatoes, onions, avocados and melted Emmental cheese. With a side of roasted potatoes, and your choice of toast or croissant.",Tomato,2 tablespoons,edbd5dc9-b76a-4820-a34c-c2fc9c5282f6,2026-03-05 09:26:02
2024,589eead8-ab72-4df3-bf3f-7eaf33bca724,Pork Sausage Roll,"Two buttermilk waffles, topped with whipped cream and maple syrup, a side of two eggs served any style, and your choice of smoked bacon or smoked ham.",Tomato,2 tablespoons,306c2d46-bb64-45c0-94e3-8fbead36c68b,2026-03-05 09:26:02
2881,57101c42-5635-40ed-b8f2-5ee2c4ea7727,Pizza,"Smoked salmon, poached eggs, diced red onions and Hollandaise sauce on an English muffin. With a side of roasted potatoes.",Tomato,1/2 cup,bbcecfd9-7a50-40de-8f63-2c3a00d79df1,2026-03-05 09:26:02
6793,d48cef88-bdbb-4fc4-a8f3-d5a626f41f48,Pork Sausage Roll,"Two buttermilk waffles, topped with whipped cream and maple syrup, a side of two eggs served any style, and your choice of smoked bacon or smoked ham.",Tomato,1/4 pint,73af6f35-fee4-40c1-a5cd-0f9dd06f5945,2026-03-05 09:26:02
3193,166135d4-e2e6-4e1c-8ff5-560c91ae7d1d,Pizza,"Smoked salmon, poached eggs, diced red onions and Hollandaise sauce on an English muffin. With a side of roasted potatoes.",Pinto Beans,1/2 cup,a80f16d1-b278-454d-8009-da0932098cfd,2026-03-05 09:26:02
9743,f06f6081-dcbe-48f8-9cb9-768d6847157c,Pizza,"Smoked salmon, poached eggs, diced red onions and Hollandaise sauce on an English muffin. With a side of roasted potatoes.",Feijoa,1/4 pint,6f8a3432-9217-4a71-87cb-7c2afaa8693c,2026-03-05 09:26:02
6542,1f7ac8c0-99ac-4e41-85bf-068843b86c7e,Pork Sausage Roll,"Two buttermilk waffles, topped with whipped cream and maple syrup, a side of two eggs served any style, and your choice of smoked bacon or smoked ham.",Feijoa,1/2 gallon,d727ef45-d576-4b18-ac4f-f7af48eb75ca,2026-03-05 09:26:02
9721,b5bea3d4-0e7c-401b-8c85-d4b8f70b20ff,Cheeseburger,"Three eggs with cilantro, tomatoes, onions, avocados and melted Emmental cheese. With a side of roasted potatoes, and your choice of toast or croissant.",Pinto Beans,2 tablespoons,13668e4b-7947-4886-a32d-012ef6f6993d,2026-03-05 09:26:02
3677,4ffd2e33-2eac-4255-bade-f14e66fd8fbb,Som Tam,"Granny Smith apples mixed with brown sugar and butter filling, in a flaky all-butter crust, with ice cream.",Pinto Beans,2 tablespoons,2acdd783-adb2-40e5-a174-4912d768fcbc,2026-03-05 09:26:02
4847,213b38f2-8744-42bb-99a3-62552357b740,Pork Sausage Roll,"Two buttermilk waffles, topped with whipped cream and maple syrup, a side of two eggs served any style, and your choice of smoked bacon or smoked ham.",Feijoa,1/4 pint,8a3119ec-3e95-4c37-b987-a0dec88f2119,2026-03-05 09:26:02
