id,uid,business_name,suffix,industry,catch_phrase,buzzword,bs_company_statement,employee_identification_number,duns_number,logo,type,phone_number,full_address,latitude,longitude,user_id,dt_current_timestamp
2623,02d9c818-1f93-445d-81ba-93c214aa2744,"Welch, Hagenes and Halvorson",Inc,Dairy,Efficient scalable solution,AI,revolutionize integrated markets,76-2505525,42-848-7969,https://example.com/fake-logos/5.png,Private,+399 520-7639-8618,"Suite 672 12670 Random Street, SomeCity, SomeCountry",52.809494,-84.951916,edbd5dc9-b76a-4820-a34c-c2fc9c5282f6,2026-03-05 09:25:44
2946,8693dba7-bdda-49bb-873d-5574f33d0c16,Johnson Corp,LLC,Investment Management,Revolutionary dynamic strategy,AI,enhance interactive platforms,75-7626563,75-325-5112,https://example.com/fake-logos/6.png,Private,+964 760-8886-3107,"Suite 256 39169 Random Street, SomeCity, SomeCountry",-62.644036,114.701579,306c2d46-bb64-45c0-94e3-8fbead36c68b,2026-03-05 09:25:44
6010,87ce6c5b-cb54-4b72-adaf-aabb61eb7d67,Johnson Corp,PLC,Healthcare,Efficient scalable solution,VR,optimize next-gen technologies,49-9316627,27-476-3174,https://example.com/fake-logos/6.png,Private,+996 433-9522-8372,"Suite 104 74320 Random Street, SomeCity, SomeCountry",35.062034,0.514168,bbcecfd9-7a50-40de-8f63-2c3a00d79df1,2026-03-05 09:25:44
8515,b5d5ad73-6449-4dfe-9c32-36a75b9e17e2,"Armstrong, Little and Cartwright",Inc,Education,Efficient scalable solution,Blockchain,optimize next-gen technologies,66-7914085,12-163-5454,https://example.com/fake-logos/1.png,Private,+226 931-4093-2584,"Suite 722 45431 Random Street, SomeCity, SomeCountry",-86.548807,109.392788,73af6f35-fee4-40c1-a5cd-0f9dd06f5945,2026-03-05 09:25:44
6758,3ee57748-fa06-444b-903d-7f14ced91d87,"Welch, Hagenes and Halvorson",Ltd,Investment Management,Proactive global mission,VR,enhance interactive platforms,26-2011158,61-678-8996,https://example.com/fake-logos/10.png,Private,+932 432-2706-6753,"Suite 712 6842 Random Street, SomeCity, SomeCountry",65.299926,-103.14404,a80f16d1-b278-454d-8009-da0932098cfd,2026-03-05 09:25:44
5103,eb69a9fb-ae22-4bc7-96d5-3a963871b869,"Armstrong, Little and Cartwright",Inc,Healthcare,Revolutionary dynamic strategy,Synergy,streamline cloud solutions,27-9394797,22-576-9400,https://example.com/fake-logos/4.png,Private,+545 719-5396-8629,"Suite 356 85120 Random Street, SomeCity, SomeCountry",-58.163769,59.828242,6f8a3432-9217-4a71-87cb-7c2afaa8693c,2026-03-05 09:25:44
9741,512ed22e-68c0-43eb-8997-5d2c0a7a9027,Johnson Corp,PLC,Dairy,Seamless innovative synergy,Synergy,optimize next-gen technologies,31-6631799,72-242-6385,https://example.com/fake-logos/5.png,Private,+325 650-9646-8291,"Suite 45 18233 Random Street, SomeCity, SomeCountry",34.807215,78.431941,d727ef45-d576-4b18-ac4f-f7af48eb75ca,2026-03-05 09:25:44
2349,7fd4456f-7034-4a7e-ab14-356be027968c,Smith Inc,Group,Education,Efficient scalable solution,Big Data,streamline cloud solutions,83-4522316,13-192-1382,https://example.com/fake-logos/1.png,Private,+262 552-7241-1608,"Suite 281 57691 Random Street, SomeCity, SomeCountry",-82.81548,170.591373,13668e4b-7947-4886-a32d-012ef6f6993d,2026-03-05 09:25:44
5629,6adb356c-a212-4ab9-8342-be897545b062,Smith Inc,Group,Investment Management,Revolutionary dynamic strategy,Big Data,revolutionize integrated markets,30-2632840,30-128-2988,https://example.com/fake-logos/2.png,Private,+454 671-8408-7722,"Suite 130 58799 Random Street, SomeCity, SomeCountry",10.300652,-169.588843,2acdd783-adb2-40e5-a174-4912d768fcbc,2026-03-05 09:25:44
4120,5d71138e-3c49-470c-823b-23551d5d93e1,Johnson Corp,Inc,Investment Management,Proactive global mission,Synergy,optimize next-gen technologies,17-1412222,48-942-9350,https://example.com/fake-logos/2.png,Private,+484 435-3117-4047,"Suite 784 88833 Random Street, SomeCity, SomeCountry",6.263578,-51.559014,8a3119ec-3e95-4c37-b987-a0dec88f2119,2026-03-05 09:25:44
