id,uid,plan,status,payment_method,subscription_term,payment_term,user_id,dt_current_timestamp
9038,4d5e33c2-aeec-459f-8c22-01895d085918,Basic,Cancelled,Alipay,Lifetime,Pay per Use,a9e7f4c0-3d79-446b-b44e-55ae3ee05b9f,2024-01-17 20:22:27
9396,fc20dc92-569c-45e5-9270-ba710c64fe95,Basic,Cancelled,Google Pay,Lifetime,Full Subscription,1ff091de-d15c-480c-917f-9ed7442ad73e,2024-01-17 20:22:27
2595,8ea83da1-21c9-45d2-922f-2b38fa8c4945,Platinum,Blocked,Credit Card,Lifetime,Pay per Use,094bd1b3-540e-4129-9d58-8c11e31625f6,2024-01-17 20:22:27
3639,0b7761f4-455a-4ffe-9359-1abff39cf018,Gold,Active,Credit Card,Lifetime,Full Subscription,91701ee9-5b0a-411c-82a6-112f3a0c1145,2024-01-17 20:22:27
1224,221f7c56-e36b-4bae-8ac9-8a944a8cc784,Standard,Blocked,Paypal,Quinquennal,Monthly Payment,608f4b82-69f5-4c6e-8734-9b5d5b4c7788,2024-01-17 20:22:27
8594,f4a4b462-b84f-4f14-8677-a79f8d5b627c,Gold,Active,Money Transfer,Quinquennal,Pay per Use,9e410645-96ff-4964-93bf-53a1ea42252f,2024-01-17 20:22:27
8257,bbd74fb4-1ef4-4e8c-86dd-2b9f554a8c6e,Platinum,Cancelled,Bitcoins,Monthly,Monthly Payment,15ecf9b6-769f-400e-8174-a1963254a5bd,2024-01-17 20:22:27
1255,243e5764-0a53-463a-bdbb-a09142da028b,Platinum,Active,Paypal,Quinquennal,Payment in Advance,1028627a-cb0f-4e34-84ed-f950a5f8f4a1,2024-01-17 20:22:27
9611,e87124c8-45a3-44d3-a4b2-bc3e1f3c8ffb,Basic,Blocked,Paypal,Yearly,Payment in Advance,54e08e9e-cf86-4a36-830f-306d1c030fec,2024-01-17 20:22:27
9111,ee028b56-1859-41b3-a26a-8aab3a5f7fb4,Gold,Cancelled,Money Transfer,Weekly,Pay per Use,c8f68cbf-cc2d-459a-8a43-803159dc69d4,2024-01-17 20:22:27
