id,uid,name,type,description,review,user_id,dt_current_timestamp
2766,12a6f7a0-fdf0-4d2c-8969-3bdf0c88f58a,Sweet Box,Fast Food,A cozy place with home-style cooking.,"Not the best experience, but the food was okay.",a9e7f4c0-3d79-446b-b44e-55ae3ee05b9f,2024-01-17 20:01:41
8099,b4cce4f6-464b-4773-9293-e96ef4659594,Ocean View,Café,A perfect place for a romantic evening.,Excellent food and friendly service!,1ff091de-d15c-480c-917f-9ed7442ad73e,2024-01-17 20:01:41
7819,c35830ee-d8db-4022-bb2f-ca87fa77857e,Ocean View,Café,Fast and delicious meals for the on-the-go customer.,Excellent food and friendly service!,094bd1b3-540e-4129-9d58-8c11e31625f6,2024-01-17 20:01:41
9700,4de30520-0f3a-4612-82e8-056c85f634ce,Café Delight,Fine Dining,Elegant dining with a panoramic ocean view.,Loved the ambience and the dessert menu.,91701ee9-5b0a-411c-82a6-112f3a0c1145,2024-01-17 20:01:41
2121,3bc40af6-9db4-4cb4-9625-6be974a6e3f9,Ocean View,Café,A perfect place for a romantic evening.,Excellent food and friendly service!,608f4b82-69f5-4c6e-8734-9b5d5b4c7788,2024-01-17 20:01:41
6415,c13e81bb-2bc6-4fa7-addd-c4d98146364b,66 BBQ,Bistro,A perfect place for a romantic evening.,A bit pricey but totally worth it.,9e410645-96ff-4964-93bf-53a1ea42252f,2024-01-17 20:01:41
4692,6ed83484-130d-4845-9c27-5ee87c44bbc5,Sweet Box,Bar,A perfect place for a romantic evening.,"Great location, but the service could be better.",15ecf9b6-769f-400e-8174-a1963254a5bd,2024-01-17 20:01:41
7142,fadb4b69-5b07-46fb-9a75-c926f389dc7b,Ocean View,Fast Food,A perfect place for a romantic evening.,"Great location, but the service could be better.",1028627a-cb0f-4e34-84ed-f950a5f8f4a1,2024-01-17 20:01:41
1850,d5563dc8-b46a-4ed2-830a-76e30753241a,Mountain Retreat,Fast Food,Elegant dining with a panoramic ocean view.,Excellent food and friendly service!,54e08e9e-cf86-4a36-830f-306d1c030fec,2024-01-17 20:01:41
8329,bf7b3926-cf57-4c54-9ec9-714345a0996a,Café Delight,Bar,A cozy place with home-style cooking.,"Not the best experience, but the food was okay.",c8f68cbf-cc2d-459a-8a43-803159dc69d4,2024-01-17 20:01:41
9123,76d21f2f-859d-4633-922f-29aa1111e946,Café Delight,Fine Dining,A perfect place for a romantic evening.,Excellent food and friendly service!,75408989-3d96-453a-8820-4034967afe5f,2024-01-17 20:01:41
2579,a35be4f3-25f8-45fb-873a-ad6da6b180da,66 BBQ,Bar,Fresh and healthy food served in a comfortable setting.,Loved the ambience and the dessert menu.,78bced13-a288-402f-bfc1-daa3821a9e06,2024-01-17 20:01:41
2204,063eafc5-af80-468c-9e51-e0b3dde55ee4,Ocean View,Bar,A cozy place with home-style cooking.,Excellent food and friendly service!,814a91eb-b265-4ab2-ab45-f483883090db,2024-01-17 20:01:41
