id,uid,name,type,description,review,user_id,dt_current_timestamp
9689,609a669a-6ec6-47a9-bc1d-7428c3b22e48,66 BBQ,Café,Fast and delicious meals for the on-the-go customer.,"Great location, but the service could be better.",0ba4a92a-f1a0-4b7e-b7ab-0cc88491b962,2024-01-17 20:01:41
7564,cb60331c-5407-4792-9ec9-f7ebef94fcbb,Café Delight,Bistro,Fast and delicious meals for the on-the-go customer.,A bit pricey but totally worth it.,a36b56b7-48ae-41a6-ae14-ec7296d50f31,2024-01-17 20:01:41
9502,5c9e1fab-1edf-4ddd-96b7-a7b365864e6d,66 BBQ,Fine Dining,Elegant dining with a panoramic ocean view.,Excellent food and friendly service!,13a31c9e-0c41-49af-ad92-60395baf8bb3,2024-01-17 20:01:41
2714,fa6a5f97-3470-4d54-8f7a-4b4ab25d0ac1,66 BBQ,Fine Dining,A perfect place for a romantic evening.,Excellent food and friendly service!,8accbc2f-a485-4fe6-90b7-3b9907eb3fbb,2024-01-17 20:01:41
4170,011b085b-f2ec-481f-8aa4-7fd9234ac35b,Mountain Retreat,Bar,A cozy place with home-style cooking.,"Great location, but the service could be better.",55f7c4ac-4553-4ac5-bb4d-1cdd52eddc94,2024-01-17 20:01:41
5400,d106ae2f-fe71-4bdd-b236-f8abf910fa3d,66 BBQ,Fine Dining,A cozy place with home-style cooking.,Loved the ambience and the dessert menu.,7412d0a9-c804-4b8d-be52-5ff6892186dc,2024-01-17 20:01:41
3434,780fc79a-7f7a-4de4-b986-41599435f81e,Mountain Retreat,Fast Food,A cozy place with home-style cooking.,Loved the ambience and the dessert menu.,610d99cb-8aff-48ac-b320-d9b95f8a910d,2024-01-17 20:01:41
2955,4f8be2fa-48e1-461b-bc98-0c77544b97f9,Ocean View,Bistro,Elegant dining with a panoramic ocean view.,"Not the best experience, but the food was okay.",91846325-d3c9-4936-bf5d-c43c7c23606f,2024-01-17 20:01:41
6126,da64a26c-1869-4bb7-a2c9-57a1b4a25d5b,Sweet Box,Fast Food,Fast and delicious meals for the on-the-go customer.,Loved the ambience and the dessert menu.,e9368666-9ea3-4122-9fd8-6412f262f87e,2024-01-17 20:01:41
3574,c7ce22d2-4ac8-4475-8056-1691f68ec9c6,Café Delight,Fine Dining,A cozy place with home-style cooking.,"Not the best experience, but the food was okay.",4ded2745-fff5-4962-a745-a6837f111b2d,2024-01-17 20:01:41
5761,3b7eadea-e3f5-43eb-b1ef-9697388bbf89,Café Delight,Café,A cozy place with home-style cooking.,A bit pricey but totally worth it.,909c6730-5d1e-4206-9970-75fce0dcde47,2024-01-17 20:01:41
4781,2c26c327-70a6-4294-9583-636f30b206a9,66 BBQ,Bar,A perfect place for a romantic evening.,"Great location, but the service could be better.",e2fe312b-1d9a-4130-ad4b-1bf3e4d6e2f3,2024-01-17 20:01:41
7141,260b4362-d958-4fa8-b549-1bf5a76b3503,Sweet Box,Bar,Elegant dining with a panoramic ocean view.,"Not the best experience, but the food was okay.",0cecee99-9a6b-433e-95ef-257449158bce,2024-01-17 20:01:41
4107,a3bf64e5-9132-4cf1-8795-98db03a40c99,Mountain Retreat,Bistro,Fresh and healthy food served in a comfortable setting.,A bit pricey but totally worth it.,3d86bd5a-8e2e-4fac-84eb-91cf88d6b217,2024-01-17 20:01:41
4299,2a21b820-a6bf-4d5b-a672-2abbb0ecc348,Sweet Box,Bistro,A perfect place for a romantic evening.,A bit pricey but totally worth it.,212178f7-8a0c-40db-8fce-d636001bd454,2024-01-17 20:01:41
7996,ac953612-324f-4305-abbd-416516bf7b7d,66 BBQ,Bistro,Fresh and healthy food served in a comfortable setting.,"Great location, but the service could be better.",f0657fed-5477-414b-873d-b00626588e58,2024-01-17 20:01:41
5320,4953f737-c29d-4d85-90bc-3236eb1fe034,Café Delight,Bar,Elegant dining with a panoramic ocean view.,A bit pricey but totally worth it.,e36c870a-4a36-450f-bf80-d96bbf609bb2,2024-01-17 20:01:41
9117,3d1946bc-0d97-4821-8d2f-c674e4b61181,Café Delight,Fine Dining,A perfect place for a romantic evening.,A bit pricey but totally worth it.,38e44540-dcb8-4ca8-81dd-1b89ffb0b78f,2024-01-17 20:01:41
4273,ee8c8b9e-fc30-4171-9ad6-7622c1d82686,Ocean View,Bar,Fresh and healthy food served in a comfortable setting.,"Not the best experience, but the food was okay.",089b7cb7-f57c-4565-9998-3943ce3d93f4,2024-01-17 20:01:41
6302,f761ed33-76e6-4cf1-89a9-acb7729c5e22,66 BBQ,Fast Food,Fresh and healthy food served in a comfortable setting.,"Not the best experience, but the food was okay.",5d1c0ac1-9613-4618-84d7-8178142bec14,2024-01-17 20:01:41
1150,1f3fff8e-1574-4915-b365-7a7fd558e974,Sweet Box,Bar,Fresh and healthy food served in a comfortable setting.,"Not the best experience, but the food was okay.",665a9e8f-26c1-45e7-9b09-60d35610da49,2024-01-17 20:01:41
