id,uid,name,type,description,review,user_id,dt_current_timestamp
8012,a12a439c-5ce4-4444-9fee-1051d88521bd,Mountain Retreat,Bar,A cozy place with home-style cooking.,A bit pricey but totally worth it.,67567bda-0ced-4950-930a-862cca02e269,2026-03-05 09:26:16
6489,cec657f8-867b-404a-82a4-ea7bdf200c93,Ocean View,Bar,A perfect place for a romantic evening.,"Not the best experience, but the food was okay.",f8094865-28b7-4e7b-bc15-cbd17366eb2d,2026-03-05 09:26:16
4496,4c6495cc-3618-4e7b-ac1e-df6231cfd7d1,Mountain Retreat,Bar,A perfect place for a romantic evening.,Excellent food and friendly service!,bed3cfa8-5178-4086-a4ab-fca91c1b727e,2026-03-05 09:26:16
4659,a870a07a-955b-4d5b-9226-8f8ff6bacfa1,Ocean View,Bar,Fast and delicious meals for the on-the-go customer.,Excellent food and friendly service!,799628ac-0921-485d-9362-287d3b35eb47,2026-03-05 09:26:16
6209,f7a45cfe-0e68-4890-8cd7-b79250561b68,Ocean View,Cafe,Fresh and healthy food served in a comfortable setting.,Excellent food and friendly service!,1fdc3b79-d10e-46d5-932d-609a24d927cf,2026-03-05 09:26:16
2813,9d2531f2-a822-4a20-92b9-c2e31681fc9e,Sweet Box,Fine Dining,Elegant dining with a panoramic ocean view.,"Not the best experience, but the food was okay.",e01713d3-ad33-42a1-b61e-46707aad0d62,2026-03-05 09:26:16
8903,0cf87f93-def5-4911-80e0-23f241b5bd85,Ocean View,Fine Dining,Fresh and healthy food served in a comfortable setting.,A bit pricey but totally worth it.,284d66a1-b07f-4f38-9fff-f258a9c4f527,2026-03-05 09:26:16
2867,594560ef-3bac-446e-9c13-5c552a0bde0f,Cafe Delight,Fine Dining,A cozy place with home-style cooking.,A bit pricey but totally worth it.,cdf92d6c-98f6-44f6-8551-fa94d6baee6d,2026-03-05 09:26:16
4746,7e114161-761b-4ccd-aa6d-fd7828c435b4,66 BBQ,Bar,Fast and delicious meals for the on-the-go customer.,Excellent food and friendly service!,413e5b6a-60f1-4d01-ad4c-91569e0693bd,2026-03-05 09:26:16
4857,1932bc89-532e-4340-a311-ac1c421625a8,Cafe Delight,Fast Food,Fresh and healthy food served in a comfortable setting.,Loved the ambience and the dessert menu.,2d89eecd-913d-4589-ba5d-168e99122247,2026-03-05 09:26:16
5739,2e3534ec-413a-4739-b770-c8cb8ec165b7,Sweet Box,Fine Dining,A perfect place for a romantic evening.,Excellent food and friendly service!,d1f8bb14-0ece-456d-946b-0cd5006f7b4f,2026-03-05 09:26:16
7185,4b18a280-7ba4-4a63-a4e8-0f08a1908732,Mountain Retreat,Cafe,Fresh and healthy food served in a comfortable setting.,A bit pricey but totally worth it.,c021c365-b932-4e46-b624-6b7947ef55ae,2026-03-05 09:26:16
6365,d0f8c752-fc33-4c79-9a1e-b12aea5fb4ef,Ocean View,Fast Food,A perfect place for a romantic evening.,A bit pricey but totally worth it.,722c7548-2625-4cb3-9d75-a46ec79467d9,2026-03-05 09:26:16
7883,67b569f8-899e-41a2-b884-e379cb3fcb45,66 BBQ,Bistro,Elegant dining with a panoramic ocean view.,"Great location, but the service could be better.",c68b6490-9156-46d4-842b-77ccb03535f1,2026-03-05 09:26:16
9144,d1b6a444-816c-48fd-b6f8-263308d8c3c7,Cafe Delight,Cafe,Fast and delicious meals for the on-the-go customer.,A bit pricey but totally worth it.,d3d1a717-572a-4320-aea1-63b9b7e1187c,2026-03-05 09:26:16
3874,a185e484-c71e-43ec-94bd-6f86e71d869e,Sweet Box,Fine Dining,A perfect place for a romantic evening.,"Not the best experience, but the food was okay.",fe1acf50-79c2-4abc-a4d6-68c95132e551,2026-03-05 09:26:16
6554,7429c910-f54d-44ca-bc6d-023f69a1ab79,Mountain Retreat,Fast Food,Fast and delicious meals for the on-the-go customer.,Loved the ambience and the dessert menu.,85dcfc8c-9351-49ae-b0ac-8bb96c25829d,2026-03-05 09:26:16
3588,d72aacb1-4893-4b4d-b763-c669ee1ee12b,Cafe Delight,Bistro,Fast and delicious meals for the on-the-go customer.,"Not the best experience, but the food was okay.",d73346a9-06d2-4cdd-860e-1794e40b0c41,2026-03-05 09:26:16
2714,c3c6cb09-28da-448c-9b4b-83a59995c4a1,Mountain Retreat,Bistro,A cozy place with home-style cooking.,A bit pricey but totally worth it.,f8c45e7f-912c-4259-b6f0-160ef7cab9ee,2026-03-05 09:26:16
4666,db1d5f2e-5d95-4742-84be-cee4c3ecc749,Sweet Box,Cafe,A cozy place with home-style cooking.,Excellent food and friendly service!,73c9886a-2147-4495-9463-3da330191558,2026-03-05 09:26:16
7095,e514867e-2bf8-45b3-a6e8-0ca563330982,Cafe Delight,Fine Dining,Fast and delicious meals for the on-the-go customer.,"Not the best experience, but the food was okay.",4e32c830-ece1-424b-b214-cc476906d716,2026-03-05 09:26:16
1055,ee80386f-88cb-4efb-8909-c44bf0130458,Ocean View,Fine Dining,A cozy place with home-style cooking.,A bit pricey but totally worth it.,d8d217cb-3a70-404c-8f01-5e75f7e31500,2026-03-05 09:26:16
9903,0fc4e07e-eced-4ce7-9f4e-eef14a9d0940,Cafe Delight,Fast Food,A cozy place with home-style cooking.,Excellent food and friendly service!,0aed72e4-b783-4328-9633-25772106e1b1,2026-03-05 09:26:16
2246,ca534f50-f244-40e7-b115-c5e803bcfd1c,Cafe Delight,Cafe,Fresh and healthy food served in a comfortable setting.,Loved the ambience and the dessert menu.,bb9172f3-072f-49d7-a62b-6715305e1d42,2026-03-05 09:26:16
5503,58a0d5f7-f53f-42c9-a4c8-53b1aeaeaf70,Ocean View,Bistro,Fast and delicious meals for the on-the-go customer.,A bit pricey but totally worth it.,55be5e72-dee2-4c9e-8c66-e62fba58e650,2026-03-05 09:26:16
1488,fecf39fa-d272-4239-96ab-160ea64990a5,Cafe Delight,Bar,A cozy place with home-style cooking.,Excellent food and friendly service!,dc8151b0-717d-4457-9d87-0d35ecf9b571,2026-03-05 09:26:16
4880,ac5f4259-3ab2-4d51-86f3-8cb861a6c49f,66 BBQ,Fine Dining,Elegant dining with a panoramic ocean view.,"Not the best experience, but the food was okay.",a5f1508c-c03d-498e-8dcb-296e2ed19bec,2026-03-05 09:26:16
5423,b325d722-4f60-463c-8979-98c0dedae3b4,Cafe Delight,Cafe,A perfect place for a romantic evening.,Loved the ambience and the dessert menu.,8be40b09-569c-4886-a2c8-890076adb450,2026-03-05 09:26:16
4994,24cd5bf9-b079-44f9-a36f-c448f3ff295b,Sweet Box,Cafe,Fresh and healthy food served in a comfortable setting.,Loved the ambience and the dessert menu.,3c591c15-ce7c-493c-b7dc-82789e20ae0a,2026-03-05 09:26:16
5457,c67a9d7f-2343-4cf2-9655-0d0e7147e78d,66 BBQ,Cafe,Elegant dining with a panoramic ocean view.,Loved the ambience and the dessert menu.,73a0ea21-152b-45a8-85be-a84e21074c43,2026-03-05 09:26:16
4495,3f596265-1b0b-4135-94eb-cbd851dee9a3,66 BBQ,Bar,Fast and delicious meals for the on-the-go customer.,A bit pricey but totally worth it.,486024df-b73a-4e04-83e9-04cd294f74ee,2026-03-05 09:26:16
9431,8f83191f-b094-421b-b103-225f68cf82db,Cafe Delight,Cafe,A perfect place for a romantic evening.,"Not the best experience, but the food was okay.",d96f4f7e-5392-49d9-8882-c131b3a709b9,2026-03-05 09:26:16
5902,c115f228-77a0-4c65-8ae2-b2f487a2912b,Sweet Box,Bar,A cozy place with home-style cooking.,Loved the ambience and the dessert menu.,dd40adcc-f80f-4723-be8d-5c4241a6428e,2026-03-05 09:26:16
1852,0b8df7cd-7fde-414a-bcd0-acce63321898,Mountain Retreat,Fine Dining,Elegant dining with a panoramic ocean view.,A bit pricey but totally worth it.,d81100b8-5d08-49aa-ae66-e9e727415c31,2026-03-05 09:26:16
7910,8955db1a-374e-4195-85bb-4842d856dd68,Cafe Delight,Fast Food,A cozy place with home-style cooking.,A bit pricey but totally worth it.,507bd1e6-20b5-4f35-9737-10bf6eb30eca,2026-03-05 09:26:16
9811,779d0b18-8000-4795-bd1a-7bda6316bf31,Ocean View,Bar,Fast and delicious meals for the on-the-go customer.,A bit pricey but totally worth it.,612bb4c3-b761-42e8-b05f-3ae10d3b7d7a,2026-03-05 09:26:16
3510,894c198b-c5a9-49b9-8228-4cf3fe3e8ba4,Mountain Retreat,Fast Food,Elegant dining with a panoramic ocean view.,"Not the best experience, but the food was okay.",0dc91a20-4585-4c42-bac7-23599b925adb,2026-03-05 09:26:16
9830,c4032ad4-3276-4826-a1da-df69ef9fc1aa,Cafe Delight,Fine Dining,A perfect place for a romantic evening.,"Great location, but the service could be better.",08a6b958-e166-42ed-ab67-0a3b5ef483a9,2026-03-05 09:26:16
2212,bcfebb4b-f1bd-40da-a2c4-f2b128b17cbd,Ocean View,Fast Food,A perfect place for a romantic evening.,Loved the ambience and the dessert menu.,72425952-5017-444c-9a03-9501bf08a79e,2026-03-05 09:26:16
9584,29407929-61df-4171-9999-134815104e90,Mountain Retreat,Bistro,A perfect place for a romantic evening.,"Great location, but the service could be better.",a934dd69-5c61-4909-9736-c9c660f8ec57,2026-03-05 09:26:16
6719,29e48e85-c0d4-4670-803b-9c37e38afd28,Sweet Box,Bar,A cozy place with home-style cooking.,Loved the ambience and the dessert menu.,623b26b0-70b2-40f2-988f-6de06326788a,2026-03-05 09:26:16
6513,f551673c-042d-47a2-9221-cde54a9a4093,Ocean View,Fine Dining,Elegant dining with a panoramic ocean view.,Excellent food and friendly service!,d0804c26-558d-4ddb-a9f6-e8f30e902eed,2026-03-05 09:26:16
5420,a8cbb4c0-6655-486f-8fe8-40f8b37c1303,Cafe Delight,Bistro,Fresh and healthy food served in a comfortable setting.,"Great location, but the service could be better.",222afd38-7642-460e-aa22-f1a1561c5b72,2026-03-05 09:26:16
2272,fc17c828-7d1b-464d-9538-0a346aaa7b94,Mountain Retreat,Fine Dining,Elegant dining with a panoramic ocean view.,"Great location, but the service could be better.",f9af01f8-c787-4a38-8735-7da775844621,2026-03-05 09:26:16
1633,198007af-f6f0-4619-a6d9-14d458b49615,Cafe Delight,Fine Dining,A cozy place with home-style cooking.,A bit pricey but totally worth it.,374aef95-904a-4551-b5bd-ce6e20ce6333,2026-03-05 09:26:16
1098,57ac1b97-eab6-47ba-b5dc-45bdbe4f5edb,Sweet Box,Cafe,A cozy place with home-style cooking.,"Great location, but the service could be better.",9f9444a8-99dd-47c6-88c0-acbf9e364dd9,2026-03-05 09:26:16
1331,3c9114b5-828f-4c13-b0d6-b7ea0192f7da,Cafe Delight,Bar,Fresh and healthy food served in a comfortable setting.,"Great location, but the service could be better.",09432377-abc0-4b90-ac7d-5fe798f5325a,2026-03-05 09:26:16
8141,6cc6895b-47d5-4bba-bbc2-7fb8e7f9dffc,Mountain Retreat,Bistro,Elegant dining with a panoramic ocean view.,Loved the ambience and the dessert menu.,7b720d00-4e53-4059-95c3-f414e572cd7b,2026-03-05 09:26:16
6302,e479c2c8-e008-4eff-bfe3-173da7f885b0,Ocean View,Fine Dining,A cozy place with home-style cooking.,Loved the ambience and the dessert menu.,f98c669a-4d22-4f55-9c7f-33735ec3c93e,2026-03-05 09:26:16
7954,b4ca6bef-b70b-4a70-95ce-b10af20129fa,66 BBQ,Fast Food,Fast and delicious meals for the on-the-go customer.,Excellent food and friendly service!,bd2a5f50-e772-43c8-9b02-bb3eca3d28d5,2026-03-05 09:26:16
5247,bbfc177b-af7e-4ce8-8111-361c6f4685a9,66 BBQ,Bistro,Fresh and healthy food served in a comfortable setting.,A bit pricey but totally worth it.,103edd2f-2e58-4b2e-84db-aab374e807a7,2026-03-05 09:26:16
1803,96bb4471-e2b8-43f2-aa86-ee0bf4666f99,Ocean View,Cafe,A perfect place for a romantic evening.,A bit pricey but totally worth it.,f7d27b4a-d06f-4dc8-9d72-da0fc5c9199b,2026-03-05 09:26:16
4187,3373a847-1f47-492d-b54a-8e9a744f06c6,66 BBQ,Cafe,A cozy place with home-style cooking.,Excellent food and friendly service!,3d428c42-03fe-4a2a-aaef-a6c765378f3e,2026-03-05 09:26:16
4097,d0ca5591-f5f4-49de-8155-d2809c639694,Cafe Delight,Bar,Fast and delicious meals for the on-the-go customer.,"Great location, but the service could be better.",b9f78e55-fd72-4d55-9905-9bd819536fe1,2026-03-05 09:26:16
6068,4f60f95a-8947-4119-bb3a-0771f2d18064,Sweet Box,Cafe,A perfect place for a romantic evening.,"Not the best experience, but the food was okay.",226cab3e-da5b-475c-808c-ef895c4cdbe3,2026-03-05 09:26:16
7451,81051bb3-3955-4382-a95c-af9a81144365,Sweet Box,Fast Food,Elegant dining with a panoramic ocean view.,Loved the ambience and the dessert menu.,62e2b3ef-2f01-4477-a2f5-df6e11ac13f7,2026-03-05 09:26:16
2011,e464b063-9a13-443b-9f72-ae73d62d017c,Sweet Box,Fast Food,Fresh and healthy food served in a comfortable setting.,Loved the ambience and the dessert menu.,4c1b050b-0a43-4206-b5a2-5d6ea9792cd1,2026-03-05 09:26:16
7245,8102e5e1-e5fd-42c5-9471-eb8d3580cc1e,Cafe Delight,Bistro,A cozy place with home-style cooking.,A bit pricey but totally worth it.,40026c3e-47de-4552-b038-b903f13695d1,2026-03-05 09:26:16
2840,4e4e48bd-673c-49cd-ab8b-22507a2456c7,Ocean View,Bar,A cozy place with home-style cooking.,"Not the best experience, but the food was okay.",a356149f-d501-4c68-b6a6-4f0fb173342f,2026-03-05 09:26:16
1009,aa35c7b1-bb7a-4741-86f0-9fcfec177361,Ocean View,Bistro,A cozy place with home-style cooking.,Loved the ambience and the dessert menu.,1dc7df52-1476-4a05-b126-2efb6e9ff336,2026-03-05 09:26:16
2171,4f96757f-f191-477a-b58d-81aae05fbae2,Ocean View,Bistro,A perfect place for a romantic evening.,Excellent food and friendly service!,e7356ef6-474d-4859-9e30-314fc50fe3a1,2026-03-05 09:26:16
4049,a80957eb-2f50-4c11-86ff-22160d153183,Cafe Delight,Fine Dining,A cozy place with home-style cooking.,Excellent food and friendly service!,b430d924-c960-4371-9fd1-bda42533b330,2026-03-05 09:26:16
9454,009ba2a1-ded1-45af-bb34-44ed91e811f9,Mountain Retreat,Bar,Fresh and healthy food served in a comfortable setting.,"Not the best experience, but the food was okay.",95f310d6-d9e7-42c9-8667-fbe35814a630,2026-03-05 09:26:16
5960,925352aa-b1f4-40d6-9c58-c04cf7df8d2d,Cafe Delight,Fast Food,A cozy place with home-style cooking.,Excellent food and friendly service!,00ae9fb8-88ed-425d-925e-40b725aa44ed,2026-03-05 09:26:16
5197,1c5ef781-48df-4da2-b128-18cfeccccae3,Mountain Retreat,Bar,A perfect place for a romantic evening.,"Not the best experience, but the food was okay.",82c56d5e-8402-46a4-99a8-c8f03017ff06,2026-03-05 09:26:16
4379,30d360a9-2bb6-4db7-8883-65a396b01cba,66 BBQ,Bar,A perfect place for a romantic evening.,"Great location, but the service could be better.",4aa35d81-7a60-489a-884c-05e7fa357b42,2026-03-05 09:26:16
8580,d679a1ff-9c5b-474b-b581-3e078a4512e2,Cafe Delight,Fine Dining,Fast and delicious meals for the on-the-go customer.,A bit pricey but totally worth it.,5a0cca12-4d0d-4412-99f5-de4c30ce1feb,2026-03-05 09:26:16
9107,f9935e5f-8b67-4a06-a8d2-0fb7c5b516e9,66 BBQ,Fine Dining,A perfect place for a romantic evening.,A bit pricey but totally worth it.,e0bed7d8-187e-4da4-b0ab-601d9cbef2d4,2026-03-05 09:26:16
9762,6b0ef95a-ca50-4bc0-bff5-f5cd9bbc87ed,Ocean View,Cafe,Fresh and healthy food served in a comfortable setting.,Loved the ambience and the dessert menu.,c4ba72f8-9b0f-47cb-826d-b96b711efc6e,2026-03-05 09:26:16
4368,20ac94d0-5450-4b74-a394-9eacbf985c2f,66 BBQ,Fine Dining,A cozy place with home-style cooking.,A bit pricey but totally worth it.,6ad37f12-7312-413f-9e0b-27ae9ed2898a,2026-03-05 09:26:16
8974,e3ac8e7e-dbf4-46b5-9ad2-343a48dbc12f,Cafe Delight,Bar,A cozy place with home-style cooking.,Loved the ambience and the dessert menu.,335443da-ead8-4e9f-84da-758477fc3a9b,2026-03-05 09:26:16
4606,15060336-11ef-45a3-8955-cc7c98dcd556,Mountain Retreat,Fast Food,A cozy place with home-style cooking.,"Great location, but the service could be better.",2166c9fa-d367-4a8f-a4af-274f6a275510,2026-03-05 09:26:16
2081,bcf62a0b-0d32-48b7-a747-79e85816ce9c,Cafe Delight,Bar,Elegant dining with a panoramic ocean view.,Excellent food and friendly service!,b855733d-0dd0-4c0e-b6e7-3097d60b9cfe,2026-03-05 09:26:16
8624,4aea22ac-abf2-4ca9-8f8d-ae4b224d0b83,Ocean View,Fine Dining,Fast and delicious meals for the on-the-go customer.,"Great location, but the service could be better.",f6903ec5-3f47-4970-9f16-94bd02795429,2026-03-05 09:26:16
3091,8fadfaf2-ff7f-46bc-a08c-a6ef42a926a3,Mountain Retreat,Cafe,A cozy place with home-style cooking.,"Not the best experience, but the food was okay.",8182bcc5-34e0-4c09-a199-05c45c697743,2026-03-05 09:26:16
9619,f5911bc5-7515-47d8-b266-798c9975af78,Cafe Delight,Bistro,A perfect place for a romantic evening.,"Not the best experience, but the food was okay.",0a13486c-4820-4ecf-b5db-3486b6d33ad9,2026-03-05 09:26:16
6097,fc9e5d8c-6fac-4a7d-b418-e5658ddb350b,66 BBQ,Bar,Fast and delicious meals for the on-the-go customer.,Loved the ambience and the dessert menu.,ba6576a0-9ff7-41a8-8c91-99afbe07e5b8,2026-03-05 09:26:16
5087,71d48ba3-68c3-4250-b47d-60a052c1285d,Cafe Delight,Cafe,Elegant dining with a panoramic ocean view.,A bit pricey but totally worth it.,7c5007a6-bc7a-4c0f-8daf-d70b3b805788,2026-03-05 09:26:16
3340,704c6999-1a78-456e-8dd7-033aaa673f5a,Cafe Delight,Cafe,Fresh and healthy food served in a comfortable setting.,Excellent food and friendly service!,5d7d35a0-552c-4cd5-a508-b16d3c1436e4,2026-03-05 09:26:16
7035,f320f230-5650-43bd-95e1-05137e1224c1,Sweet Box,Fast Food,A cozy place with home-style cooking.,A bit pricey but totally worth it.,f07a0430-538b-49b9-8bf4-30a5d27b2a2a,2026-03-05 09:26:16
3270,332cfbdc-1ec4-4a9d-a720-954cbc9ddf5c,66 BBQ,Bistro,Fresh and healthy food served in a comfortable setting.,A bit pricey but totally worth it.,91509fda-5377-41f5-97d9-42b0ad072705,2026-03-05 09:26:16
9913,2118373b-622d-4b96-a401-daf1493e7ea9,Mountain Retreat,Fast Food,Elegant dining with a panoramic ocean view.,"Great location, but the service could be better.",e3f76a64-65de-462a-b1e5-f980f1d9f967,2026-03-05 09:26:16
7132,9ac8cea7-02fb-414a-9483-5b61f9b04204,Sweet Box,Bar,Fresh and healthy food served in a comfortable setting.,Loved the ambience and the dessert menu.,19a477dc-0c50-495f-9e73-c134ea3086e7,2026-03-05 09:26:16
7749,6ae0af75-a080-4cb1-8db8-31b9550e82c9,Mountain Retreat,Fast Food,A cozy place with home-style cooking.,"Great location, but the service could be better.",b7bf516d-1f00-4a8c-bb89-11d3cf67fecb,2026-03-05 09:26:16
9525,384abb57-0e65-4a1b-ab9f-954bb5fb9022,66 BBQ,Bar,A perfect place for a romantic evening.,Excellent food and friendly service!,271fa719-550f-4e88-be7c-7b0fdd2405d7,2026-03-05 09:26:16
8421,bd38c43d-89f7-4ca3-b347-301cbc3b77ac,Ocean View,Bistro,Elegant dining with a panoramic ocean view.,Loved the ambience and the dessert menu.,3d5a3d97-3803-48dd-b688-1fe8fa1d7513,2026-03-05 09:26:16
4584,1d1fbaa6-19a6-4d13-ba57-3bb203bddd21,Ocean View,Bistro,Fresh and healthy food served in a comfortable setting.,"Great location, but the service could be better.",d6d2b6eb-89e5-4532-850f-d9cc95abe6fe,2026-03-05 09:26:16
5909,353c5768-fb6d-4906-bd3b-51877adc5f6e,Cafe Delight,Cafe,Fast and delicious meals for the on-the-go customer.,Loved the ambience and the dessert menu.,f867aafd-8ac4-4993-974b-03322f0878d9,2026-03-05 09:26:16
4512,943b27d1-2a44-4a11-aa9c-af8cf47dfa6b,Mountain Retreat,Fine Dining,A cozy place with home-style cooking.,A bit pricey but totally worth it.,f5d85e77-c55e-4d6c-8013-ef6fe2556585,2026-03-05 09:26:16
1711,9d729261-aa70-4b50-bf96-bd7e20c0fdb9,66 BBQ,Bistro,Fast and delicious meals for the on-the-go customer.,"Not the best experience, but the food was okay.",cab3ec9f-c838-46ab-ba70-0177beb43f86,2026-03-05 09:26:16
7159,590bf47d-98d9-4644-9fb0-623ec733ce63,Cafe Delight,Bistro,Fast and delicious meals for the on-the-go customer.,"Great location, but the service could be better.",eace12c6-83ea-491e-8177-49cfddc4c05c,2026-03-05 09:26:16
