id,uid,dish,description,ingredient,measurement,user_id,dt_current_timestamp
7870,a6f86577-1028-4568-a9c2-6a204b3fe602,Cheeseburger,"Three eggs with cilantro, tomatoes, onions, avocados and melted Emmental cheese. With a side of roasted potatoes, and your choice of toast or croissant.",Curry Powder,1/2 cup,6808a3b8-2230-4027-97d3-e2eb67a2d3e2,2024-01-17 17:14:34
6241,fdcf7668-16fa-42cc-bf6a-1169a0770574,Pizza,"Smoked salmon, poached eggs, diced red onions and Hollandaise sauce on an English muffin. With a side of roasted potatoes.",Pinto Beans,1/4 pint,a94c130f-fc56-4f58-ac71-c7ef4b0a446a,2024-01-17 17:14:34
5124,e6d16ce7-e1ff-4309-aeef-7f64371a9148,Som Tam,"Granny Smith apples mixed with brown sugar and butter filling, in a flaky all-butter crust, with ice cream.",Curry Powder,1/4 pint,24cf2eea-b334-40f8-bd56-d5da6b6cf291,2024-01-17 17:14:34
9901,80802b14-978c-488b-9958-5ddaf427c04d,Pork Sausage Roll,"Two buttermilk waffles, topped with whipped cream and maple syrup, a side of two eggs served any style, and your choice of smoked bacon or smoked ham.",Feijoa,2 tablespoons,5db08085-3b32-4ad8-b5bf-de23d33db48a,2024-01-17 17:14:34
1308,955c5d12-2eed-4df3-b164-9e911dbd5458,Som Tam,"Granny Smith apples mixed with brown sugar and butter filling, in a flaky all-butter crust, with ice cream.",Pinto Beans,2 tablespoons,6aae6fbf-1a35-428f-9d72-ed1f2378fcf5,2024-01-17 17:14:34
8424,92df296f-9f2e-43bf-b441-1439bea65e5b,Cheeseburger,"Three eggs with cilantro, tomatoes, onions, avocados and melted Emmental cheese. With a side of roasted potatoes, and your choice of toast or croissant.",Pinto Beans,1/4 pint,d4daf90e-92ec-411e-a8fd-cc67847b4c8b,2024-01-17 17:14:34
1405,34047fe9-544a-4d86-a2ba-d6db00a7cefb,Som Tam,"Granny Smith apples mixed with brown sugar and butter filling, in a flaky all-butter crust, with ice cream.",Tomato,2 tablespoons,1de5f09a-10c6-4bc1-a7fd-3f5fd4628e60,2024-01-17 17:14:34
4763,743350af-cfed-4d56-a314-051f1098f984,Pizza,"Smoked salmon, poached eggs, diced red onions and Hollandaise sauce on an English muffin. With a side of roasted potatoes.",Pinto Beans,1/2 gallon,83110bd1-8c45-4d58-a7a9-71c74a4bfdec,2024-01-17 17:14:34
7188,b884b41d-61f5-4fe8-9e41-588f1b031135,Cheeseburger,"Three eggs with cilantro, tomatoes, onions, avocados and melted Emmental cheese. With a side of roasted potatoes, and your choice of toast or croissant.",Tomato,1/2 cup,51266c9c-c77f-4afd-af22-4d3a14b7fa3f,2024-01-17 17:14:34
3835,325b4891-5705-4cdd-bbd5-95b2457d2c7f,Som Tam,"Granny Smith apples mixed with brown sugar and butter filling, in a flaky all-butter crust, with ice cream.",Pinto Beans,1/2 gallon,ae22a074-813a-4a50-b3da-cb6f880c82a9,2024-01-17 17:14:34
