brand,name,style,hop,yeast,malts,ibu,alcohol,blg,user_id,dt_current_timestamp
Carlsberg,Pale Ale,Strong Ale,Saaz,W34/70 - Lager,Munich,43 IBU,9.5%,15.3°Blg,35726e25-8e09-45ee-afc7-7a89656bec90,2026-03-05 09:25:32
Budweiser,Pilsner,Strong Ale,Cascade,WLP001 - California Ale,Caramel,42 IBU,8.5%,18.5°Blg,3d0c3354-661e-4d8c-9057-9589fdc4fd6d,2026-03-05 09:25:32
Brewdog,Pilsner,Belgian Dubbel,Millennium,S04 - English Ale,Munich,37 IBU,9.7%,16.7°Blg,4fcf4df2-4995-4a6f-a58d-f9fa6c49cc89,2026-03-05 09:25:32
Guinness,Imperial Stout,Strong Ale,Cascade,1388 - Belgian Strong Ale,Munich,32 IBU,6.7%,18.2°Blg,bc38a57b-ef09-457d-92dc-589c3baa7b73,2026-03-05 09:25:32
Brewdog,Lager,Belgian Dubbel,Galaxy,WLP001 - California Ale,Caramel,30 IBU,5.1%,15.4°Blg,179e3047-f32d-4920-bd01-108629d7b2f2,2026-03-05 09:25:32
Carlsberg,Pilsner,Session IPA,Galaxy,1388 - Belgian Strong Ale,Chocolate,37 IBU,6.5%,17.8°Blg,8f38b137-b5ba-4874-8601-f38fedfae979,2026-03-05 09:25:32
Heineken,Imperial Stout,Session IPA,Saaz,W34/70 - Lager,Chocolate,46 IBU,5.5%,12.6°Blg,92993826-3a02-4c71-a5f0-c582022173f0,2026-03-05 09:25:32
Carlsberg,Pale Ale,Strong Ale,Cascade,1056 - American Ale,Munich,43 IBU,9.9%,16.6°Blg,9b6e5d77-df9c-4d56-860e-8b76432dcdbd,2026-03-05 09:25:32
Budweiser,Imperial Stout,Belgian Dubbel,Saaz,W34/70 - Lager,Munich,40 IBU,4.3%,18.7°Blg,1d8758e4-e2ae-455d-8be4-024a0936ea21,2026-03-05 09:25:32
Budweiser,Imperial Stout,Session IPA,Mosaic,S04 - English Ale,Chocolate,35 IBU,5.3%,14.9°Blg,61bb05aa-22a8-465e-b6f9-ca1cd70ed271,2026-03-05 09:25:32
Brewdog,Pilsner,Sour Ale,Mosaic,1388 - Belgian Strong Ale,Caramel,61 IBU,7.2%,11.7°Blg,5b044e6e-0cad-4135-a32c-18d842b5f459,2026-03-05 09:25:32
Heineken,Pale Ale,Sour Ale,Saaz,1388 - Belgian Strong Ale,Chocolate,60 IBU,4.2%,19.6°Blg,be574c59-0213-4d31-ba68-339c78c0ccd1,2026-03-05 09:25:32
Heineken,Pilsner,Sour Ale,Mosaic,1056 - American Ale,Pilsner,70 IBU,6.3%,18.8°Blg,8fe7de81-06e3-46d0-97e6-5a0023b69478,2026-03-05 09:25:32
Heineken,Pilsner,Sour Ale,Mosaic,WLP001 - California Ale,Victory,49 IBU,8.8%,16.1°Blg,030a18ab-4156-4003-8255-d4d9f419a60d,2026-03-05 09:25:32
Carlsberg,Pale Ale,Belgian Dubbel,Cascade,W34/70 - Lager,Pilsner,64 IBU,4.5%,15.0°Blg,efdeb6d8-97b8-4f78-aae1-ca5d97d1beab,2026-03-05 09:25:32
Brewdog,Pilsner,Session IPA,Galaxy,1388 - Belgian Strong Ale,Victory,63 IBU,6.9%,16.4°Blg,89dee1c9-9245-4103-83a7-d876d55162aa,2026-03-05 09:25:32
Budweiser,Pilsner,Session IPA,Millennium,W34/70 - Lager,Chocolate,67 IBU,4.5%,16.0°Blg,6b839654-91cf-491b-a680-287a73e56217,2026-03-05 09:25:32
Brewdog,Pale Ale,Belgian Dubbel,Mosaic,1388 - Belgian Strong Ale,Pilsner,59 IBU,9.4%,12.7°Blg,10437100-cb33-4024-8b96-8e6c704f092f,2026-03-05 09:25:32
Carlsberg,Lager,Session IPA,Mosaic,1388 - Belgian Strong Ale,Pilsner,40 IBU,9.3%,12.1°Blg,23eef11e-e99f-402f-8e2a-08dbe87dcd80,2026-03-05 09:25:32
Carlsberg,Imperial Stout,Strong Ale,Saaz,1388 - Belgian Strong Ale,Pilsner,43 IBU,4.2%,10.4°Blg,60122ab7-0774-4bf7-a96a-505d1409ea4f,2026-03-05 09:25:32
Brewdog,Pale Ale,Belgian Dubbel,Mosaic,WLP001 - California Ale,Pilsner,30 IBU,8.1%,19.6°Blg,5c1ded0c-7b90-47a5-95cd-5bd04cfd9ac2,2026-03-05 09:25:32
Heineken,Lager,Session IPA,Millennium,S04 - English Ale,Chocolate,70 IBU,9.4%,15.8°Blg,a8315779-43f0-45b2-8632-c3aad54fc205,2026-03-05 09:25:32
Carlsberg,Porter,Wheat Beer,Saaz,1056 - American Ale,Munich,70 IBU,9.9%,18.0°Blg,3e32c90e-bba7-42e7-a7fa-5748323bd320,2026-03-05 09:25:32
Guinness,Pilsner,Strong Ale,Saaz,1056 - American Ale,Victory,29 IBU,4.1%,18.6°Blg,f0ea2b2b-1e16-4819-baad-aca7ec925b28,2026-03-05 09:25:32
Guinness,Imperial Stout,Sour Ale,Saaz,1388 - Belgian Strong Ale,Chocolate,36 IBU,7.4%,15.2°Blg,6de7e7d7-5344-4bf2-a3ec-9ba7f0556ec4,2026-03-05 09:25:32
Budweiser,Imperial Stout,Sour Ale,Cascade,1056 - American Ale,Chocolate,65 IBU,7.0%,12.3°Blg,28d3c401-deab-4645-ab55-3073fc23221c,2026-03-05 09:25:32
Budweiser,Pilsner,Wheat Beer,Saaz,W34/70 - Lager,Caramel,20 IBU,7.1%,15.8°Blg,fa2a4f1c-7703-49a3-be83-b6f7a14e73e2,2026-03-05 09:25:32
Carlsberg,Imperial Stout,Strong Ale,Millennium,1056 - American Ale,Victory,47 IBU,5.1%,11.5°Blg,50b0878a-7702-41cb-85f6-91612b6d299f,2026-03-05 09:25:32
Carlsberg,Porter,Session IPA,Millennium,1388 - Belgian Strong Ale,Chocolate,22 IBU,5.1%,16.8°Blg,6f416927-07cc-45f4-ba33-44cde18bf07e,2026-03-05 09:25:32
Budweiser,Pale Ale,Sour Ale,Cascade,S04 - English Ale,Pilsner,42 IBU,4.8%,10.5°Blg,61195b8f-e85a-4e3a-bcc9-a4eb9f302c15,2026-03-05 09:25:32
Carlsberg,Pilsner,Belgian Dubbel,Galaxy,1056 - American Ale,Caramel,22 IBU,4.3%,18.8°Blg,2d196d8b-7d75-422a-832c-31fd6dc7f53c,2026-03-05 09:25:32
Heineken,Porter,Wheat Beer,Mosaic,S04 - English Ale,Chocolate,62 IBU,6.2%,17.0°Blg,3c23c16a-9a56-41b0-842f-060e18590adb,2026-03-05 09:25:32
