brand,name,style,hop,yeast,malts,ibu,alcohol,blg,user_id,dt_current_timestamp
Heineken,Lager,Sour Ale,Galaxy,S04 - English Ale,Chocolate,28 IBU,5.2%,18.0°Blg,edbd5dc9-b76a-4820-a34c-c2fc9c5282f6,2026-03-05 09:25:33
Budweiser,Pilsner,Strong Ale,Galaxy,W34/70 - Lager,Pilsner,20 IBU,8.1%,18.1°Blg,306c2d46-bb64-45c0-94e3-8fbead36c68b,2026-03-05 09:25:33
Brewdog,Pale Ale,Strong Ale,Millennium,W34/70 - Lager,Victory,56 IBU,6.0%,11.7°Blg,bbcecfd9-7a50-40de-8f63-2c3a00d79df1,2026-03-05 09:25:33
Guinness,Porter,Session IPA,Mosaic,1388 - Belgian Strong Ale,Pilsner,69 IBU,9.6%,11.5°Blg,73af6f35-fee4-40c1-a5cd-0f9dd06f5945,2026-03-05 09:25:33
Guinness,Imperial Stout,Belgian Dubbel,Millennium,W34/70 - Lager,Chocolate,21 IBU,7.4%,15.4°Blg,a80f16d1-b278-454d-8009-da0932098cfd,2026-03-05 09:25:33
Guinness,Porter,Wheat Beer,Millennium,1388 - Belgian Strong Ale,Chocolate,69 IBU,8.3%,10.2°Blg,6f8a3432-9217-4a71-87cb-7c2afaa8693c,2026-03-05 09:25:33
Brewdog,Imperial Stout,Belgian Dubbel,Millennium,1056 - American Ale,Victory,22 IBU,7.5%,10.9°Blg,d727ef45-d576-4b18-ac4f-f7af48eb75ca,2026-03-05 09:25:33
Carlsberg,Pilsner,Sour Ale,Millennium,W34/70 - Lager,Munich,25 IBU,7.9%,13.0°Blg,13668e4b-7947-4886-a32d-012ef6f6993d,2026-03-05 09:25:33
Budweiser,Pale Ale,Wheat Beer,Millennium,1056 - American Ale,Chocolate,62 IBU,8.1%,14.8°Blg,2acdd783-adb2-40e5-a174-4912d768fcbc,2026-03-05 09:25:33
Brewdog,Porter,Wheat Beer,Saaz,WLP001 - California Ale,Munich,22 IBU,6.3%,14.9°Blg,8a3119ec-3e95-4c37-b987-a0dec88f2119,2026-03-05 09:25:33
Heineken,Pale Ale,Wheat Beer,Galaxy,WLP001 - California Ale,Munich,32 IBU,5.0%,19.9°Blg,236f6d94-0c1e-402c-b45e-d50505288d06,2026-03-05 09:25:33
Guinness,Lager,Strong Ale,Mosaic,S04 - English Ale,Munich,34 IBU,4.2%,13.9°Blg,d849256c-dc92-45ec-b226-fc0073d84b94,2026-03-05 09:25:33
Carlsberg,Lager,Session IPA,Millennium,W34/70 - Lager,Caramel,61 IBU,9.5%,15.5°Blg,edda594b-abfe-4637-9748-8777a22e65ad,2026-03-05 09:25:33
Guinness,Pilsner,Session IPA,Mosaic,1056 - American Ale,Pilsner,28 IBU,9.7%,17.1°Blg,21fbb95e-2e1b-4b77-90c4-267024ee296f,2026-03-05 09:25:33
Budweiser,Pale Ale,Sour Ale,Cascade,1388 - Belgian Strong Ale,Caramel,49 IBU,4.7%,19.8°Blg,15d45547-755d-4e79-b2d5-35018e1af217,2026-03-05 09:25:33
Heineken,Porter,Wheat Beer,Cascade,W34/70 - Lager,Chocolate,36 IBU,9.1%,10.6°Blg,295fd979-a477-4897-8c93-f772c5269654,2026-03-05 09:25:33
Heineken,Lager,Sour Ale,Galaxy,1056 - American Ale,Victory,39 IBU,8.9%,12.8°Blg,7d2ede05-d102-4a62-9cdc-0beb93b94a1f,2026-03-05 09:25:33
Brewdog,Pale Ale,Wheat Beer,Millennium,1388 - Belgian Strong Ale,Victory,47 IBU,6.9%,11.9°Blg,e26ce6a6-3400-40db-a74c-28d885bb7d84,2026-03-05 09:25:33
Brewdog,Lager,Strong Ale,Cascade,S04 - English Ale,Caramel,47 IBU,8.1%,13.5°Blg,dbc59a06-65c7-407c-a88d-06287c0753ee,2026-03-05 09:25:33
Brewdog,Pilsner,Strong Ale,Cascade,S04 - English Ale,Pilsner,23 IBU,7.3%,10.9°Blg,1c668599-a7e9-41bb-a754-98febeece97f,2026-03-05 09:25:33
Budweiser,Lager,Belgian Dubbel,Galaxy,S04 - English Ale,Munich,30 IBU,8.1%,12.8°Blg,b78cc0f4-c582-4ec6-a0b1-ca8b399bcdad,2026-03-05 09:25:33
Carlsberg,Pilsner,Wheat Beer,Galaxy,S04 - English Ale,Pilsner,46 IBU,7.3%,18.6°Blg,08de3ae2-4521-4b2b-ab04-a29550f569d2,2026-03-05 09:25:33
Brewdog,Pilsner,Session IPA,Saaz,W34/70 - Lager,Caramel,56 IBU,9.1%,13.9°Blg,4888a4ce-cce5-4936-9122-58e8debc6a80,2026-03-05 09:25:33
Guinness,Lager,Belgian Dubbel,Saaz,WLP001 - California Ale,Munich,41 IBU,7.7%,18.6°Blg,0c0a9ae1-39e6-4071-8868-46fdb8a5d6bf,2026-03-05 09:25:33
Guinness,Lager,Wheat Beer,Mosaic,WLP001 - California Ale,Pilsner,60 IBU,5.5%,17.8°Blg,1944b288-862d-46e3-9158-db92c25759ad,2026-03-05 09:25:33
Brewdog,Imperial Stout,Sour Ale,Millennium,S04 - English Ale,Chocolate,55 IBU,5.5%,13.1°Blg,cc3e88d0-fdad-4ff6-8c40-f5d9aa614e8d,2026-03-05 09:25:33
