id,uid,platform,type,os,stack,user_id,dt_current_timestamp
6443,ede4176f-6e74-4c16-b1d0-83b26ff6049d,Windows,workstation,High Sierra (10.13),"macOS, RHEL",a9e7f4c0-3d79-446b-b44e-55ae3ee05b9f,2024-01-17 16:57:33
4589,0e642690-dbd9-4dfc-8bd0-19a71d707096,Windows,server,RHEL 7.7,"Ubuntu, RHEL",1ff091de-d15c-480c-917f-9ed7442ad73e,2024-01-17 16:57:33
1019,6efa2216-2427-4244-b615-a34e5b4e5d2f,macOS,server,Windows 10,"Ubuntu, Linux",094bd1b3-540e-4129-9d58-8c11e31625f6,2024-01-17 16:57:33
7951,4594a0e0-4b6c-4439-bc7d-9249d47ba98c,macOS,server,Windows 10,"Windows, Ubuntu",91701ee9-5b0a-411c-82a6-112f3a0c1145,2024-01-17 16:57:33
4369,d02410ba-965e-4d22-8106-3db72d584c52,Linux,server,High Sierra (10.13),"RHEL, Ubuntu",608f4b82-69f5-4c6e-8734-9b5d5b4c7788,2024-01-17 16:57:33
9212,96285e40-11ba-496e-82b1-88b8101a29af,macOS,server,High Sierra (10.13),"RHEL, Linux",9e410645-96ff-4964-93bf-53a1ea42252f,2024-01-17 16:57:33
1346,9648560a-322b-4f81-a797-ce4819e29bec,Windows,server,Windows 10,"Linux, RHEL",15ecf9b6-769f-400e-8174-a1963254a5bd,2024-01-17 16:57:33
8458,552fbb11-41b5-4ab6-9aa8-cfd571555206,Linux,server,Windows 10,"RHEL, Linux",1028627a-cb0f-4e34-84ed-f950a5f8f4a1,2024-01-17 16:57:33
2157,231b4f6f-d52c-4a15-b5cb-9580071828f2,macOS,server,CentOS 8,"Linux, RHEL",54e08e9e-cf86-4a36-830f-306d1c030fec,2024-01-17 16:57:33
2017,b71bbcd4-f109-4ecc-a544-301a1135113c,macOS,server,High Sierra (10.13),"Linux, macOS",c8f68cbf-cc2d-459a-8a43-803159dc69d4,2024-01-17 16:57:33
5127,89857b73-f9f1-402b-8d51-58b9ce25f2ab,macOS,server,Windows 10,"macOS, RHEL",75408989-3d96-453a-8820-4034967afe5f,2024-01-17 16:57:33
6872,9655ca85-7083-43da-9e8a-25dadd75e403,macOS,workstation,RHEL 7.7,"Ubuntu, Linux",78bced13-a288-402f-bfc1-daa3821a9e06,2024-01-17 16:57:33
9271,305dca32-816b-4cf0-b88c-623ee7f88e75,Linux,server,CentOS 8,"RHEL, Windows",814a91eb-b265-4ab2-ab45-f483883090db,2024-01-17 16:57:33
1483,5b3f3ac4-bfc2-4386-9ff0-fe9687cc2af9,macOS,workstation,High Sierra (10.13),"macOS, RHEL",0cfd47b2-5724-4576-8dfc-af3cc54c8dd3,2024-01-17 16:57:33
6449,04b7fef9-e616-49b7-ba17-5d602f19be0a,Linux,server,High Sierra (10.13),"Windows, RHEL",fb24c384-57b4-49cb-8b8f-744712ab3955,2024-01-17 16:57:33
1268,d8092f3c-ab58-4ab1-8a8e-ed4ca60aa962,Windows,server,Ubuntu Desktop 18.04,"RHEL, Linux",a64d4e8f-8c92-41dd-850b-999d32ab356f,2024-01-17 16:57:33
9358,e1e5ef9b-3544-47b1-9814-e2b5ce1624a9,macOS,workstation,RHEL 7.7,"macOS, Ubuntu",1d3e46b9-6033-4df1-88a0-4d364df83183,2024-01-17 16:57:33
7798,708d291a-f23c-419f-b1ea-fcde6c81c474,Windows,server,Windows 10,"RHEL, Ubuntu",478ab6e6-d34f-492c-abd4-122609e4ebe1,2024-01-17 16:57:33
