brand,name,style,hop,yeast,malts,ibu,alcohol,blg,user_id
Budweiser,Imperial Stout,Belgian Dubbel,Mosaic,1388 - Belgian Strong Ale,Caramel,64 IBU,9.2%,16.3°Blg,057474b4-5433-4b0a-8db2-e9e6ec115d9c
Heineken,Porter,Sour Ale,Cascade,1388 - Belgian Strong Ale,Chocolate,33 IBU,5.5%,18.3°Blg,e46d9355-3713-4304-9327-05d91829d2c2
Brewdog,Imperial Stout,Wheat Beer,Saaz,S04 - English Ale,Victory,42 IBU,4.9%,19.1°Blg,972f2190-52d9-410e-8d45-71a0246c8669
Brewdog,Porter,Wheat Beer,Saaz,1388 - Belgian Strong Ale,Pilsner,35 IBU,9.0%,12.3°Blg,3cf49b65-05f9-4f4e-95f8-4dd9a3d94485
Heineken,Pale Ale,Belgian Dubbel,Saaz,S04 - English Ale,Caramel,48 IBU,8.3%,19.7°Blg,1198471c-26ce-44a8-8f05-eb3094f719b8
Brewdog,Imperial Stout,Sour Ale,Galaxy,S04 - English Ale,Chocolate,33 IBU,5.7%,17.7°Blg,bcdbc933-1555-4652-bbea-573877daad0e
Brewdog,Imperial Stout,Strong Ale,Galaxy,W34/70 - Lager,Victory,40 IBU,5.5%,18.0°Blg,18e0cec4-8fb9-410a-bea3-5a1ed590d3d5
Heineken,Pilsner,Belgian Dubbel,Cascade,S04 - English Ale,Chocolate,68 IBU,8.7%,14.4°Blg,bf94f3db-0fe9-4433-be56-0f3b0dac4150
Heineken,Imperial Stout,Belgian Dubbel,Cascade,S04 - English Ale,Pilsner,63 IBU,5.5%,17.9°Blg,31eb4625-dcd0-496a-b478-c150a654d0a1
Brewdog,Imperial Stout,Belgian Dubbel,Galaxy,W34/70 - Lager,Pilsner,32 IBU,7.5%,16.5°Blg,c7d04d7a-7f50-47b6-86e8-60d6dc98cd93
Carlsberg,Pilsner,Wheat Beer,Galaxy,S04 - English Ale,Chocolate,64 IBU,4.2%,18.2°Blg,b5cd83ef-e7e6-4ffb-8042-d3932c9a734c
Budweiser,Porter,Sour Ale,Saaz,W34/70 - Lager,Munich,44 IBU,8.5%,16.4°Blg,a2280dff-8e78-424b-8565-9cfe3a99e17a
Budweiser,Lager,Belgian Dubbel,Mosaic,1388 - Belgian Strong Ale,Pilsner,70 IBU,5.4%,17.7°Blg,8f7d942e-7bed-4fcb-a642-9fb8cee76d0b
Carlsberg,Porter,Session IPA,Cascade,S04 - English Ale,Caramel,33 IBU,8.0%,15.1°Blg,25d4cb51-6e72-42b3-9f62-9153e345d84d
Heineken,Pilsner,Strong Ale,Cascade,W34/70 - Lager,Chocolate,55 IBU,6.7%,17.3°Blg,1eb31594-5d59-405f-af3d-4bb0437fd513
Guinness,Porter,Belgian Dubbel,Millennium,W34/70 - Lager,Caramel,23 IBU,6.5%,15.3°Blg,46ab8db9-5d23-4784-80e7-de7315f4f81b
Budweiser,Porter,Sour Ale,Millennium,S04 - English Ale,Caramel,38 IBU,8.0%,18.2°Blg,cf387bfd-622c-4578-be17-5c47f111d85d
Guinness,Pale Ale,Strong Ale,Millennium,1388 - Belgian Strong Ale,Caramel,52 IBU,8.6%,11.5°Blg,5a58de8c-1c15-4291-b5e8-63522cfd7523
Carlsberg,Pale Ale,Sour Ale,Millennium,1056 - American Ale,Chocolate,69 IBU,9.7%,19.8°Blg,e66262b8-469a-4885-8fd8-dbe6bdc30089
Guinness,Pilsner,Strong Ale,Mosaic,W34/70 - Lager,Pilsner,67 IBU,4.7%,13.4°Blg,2f5a079d-60ae-455a-8d92-353a4d77c32f
Brewdog,Porter,Sour Ale,Millennium,WLP001 - California Ale,Chocolate,46 IBU,8.6%,10.4°Blg,f6d0ef67-5bc0-4f0e-ae3a-0f1a74995912
Budweiser,Imperial Stout,Session IPA,Cascade,S04 - English Ale,Caramel,70 IBU,5.6%,15.4°Blg,0c2718b3-cb8c-4bd6-8f47-631b5ed0b252
Heineken,Porter,Wheat Beer,Cascade,1388 - Belgian Strong Ale,Caramel,28 IBU,6.8%,18.7°Blg,453438e3-862d-4ace-bfab-6c8f4aac9848
Guinness,Lager,Strong Ale,Galaxy,WLP001 - California Ale,Pilsner,47 IBU,7.9%,16.6°Blg,4aee740a-b3ab-4fb4-ba91-3e1b6fce86d5
Carlsberg,Imperial Stout,Strong Ale,Mosaic,S04 - English Ale,Munich,51 IBU,6.9%,18.6°Blg,2131b4a9-04b9-4991-999c-39fddd3d1009
Brewdog,Pilsner,Session IPA,Saaz,1388 - Belgian Strong Ale,Chocolate,45 IBU,7.0%,18.7°Blg,88a673ce-2454-47d1-958d-691d0ad2aa5c
Carlsberg,Pale Ale,Belgian Dubbel,Cascade,WLP001 - California Ale,Victory,34 IBU,6.6%,11.5°Blg,73e5adea-92cc-4d0a-bfba-99d3e37f920a
