brand,name,style,hop,yeast,malts,ibu,alcohol,blg,user_id
Carlsberg,Porter,Strong Ale,Saaz,S04 - English Ale,Pilsner,36 IBU,9.8%,18.6°Blg,add679de-f3e7-4c40-ba6f-d22df3321d57
Guinness,Porter,Belgian Dubbel,Galaxy,1056 - American Ale,Pilsner,48 IBU,4.7%,16.6°Blg,1800609c-23cf-4d9f-8bf4-c7c680b35705
Heineken,Pilsner,Session IPA,Millennium,1056 - American Ale,Victory,39 IBU,9.5%,16.2°Blg,3f5ac875-17e3-4cdc-aa31-ff75a720e8b6
Heineken,Pilsner,Session IPA,Mosaic,WLP001 - California Ale,Chocolate,33 IBU,8.2%,13.3°Blg,d630d856-0c09-4751-b40f-7f40badd9877
Brewdog,Lager,Wheat Beer,Saaz,1056 - American Ale,Pilsner,66 IBU,8.8%,17.4°Blg,c976dd89-42d8-4628-8366-c82833865487
Heineken,Porter,Wheat Beer,Galaxy,1388 - Belgian Strong Ale,Munich,69 IBU,4.2%,14.9°Blg,9ea49d18-9774-4f11-ad9e-0f71bed900c2
Budweiser,Pilsner,Belgian Dubbel,Saaz,1388 - Belgian Strong Ale,Pilsner,48 IBU,5.0%,10.0°Blg,5586bb21-a407-4f19-99f2-b605b8927e91
Heineken,Imperial Stout,Strong Ale,Saaz,WLP001 - California Ale,Chocolate,55 IBU,9.0%,11.0°Blg,5a65e9c8-b7aa-4971-8ad5-ad8232796064
Budweiser,Pale Ale,Belgian Dubbel,Millennium,1388 - Belgian Strong Ale,Pilsner,42 IBU,8.0%,19.9°Blg,7b4d9344-ad9c-4ff4-badc-0d223f9e2a4d
Carlsberg,Pale Ale,Session IPA,Galaxy,WLP001 - California Ale,Munich,32 IBU,6.5%,13.1°Blg,5798a88a-9121-4536-baa8-1034427911d4
Brewdog,Lager,Wheat Beer,Saaz,W34/70 - Lager,Munich,27 IBU,7.0%,18.7°Blg,46108fd0-2db4-4d6a-a9aa-c3923a9aec88
Heineken,Pilsner,Wheat Beer,Millennium,WLP001 - California Ale,Chocolate,29 IBU,7.4%,13.2°Blg,85c567d6-e450-4a9b-97df-44629d623c82
Heineken,Imperial Stout,Session IPA,Galaxy,1056 - American Ale,Chocolate,55 IBU,6.0%,19.5°Blg,e4e7c165-0760-4949-99df-278049d967a6
