brand,name,style,hop,yeast,malts,ibu,alcohol,blg,user_id
Brewdog,Imperial Stout,Session IPA,Millennium,S04 - English Ale,Munich,54 IBU,8.8%,13.1°Blg,6808a3b8-2230-4027-97d3-e2eb67a2d3e2
Heineken,Pale Ale,Wheat Beer,Saaz,W34/70 - Lager,Caramel,39 IBU,4.1%,18.8°Blg,a94c130f-fc56-4f58-ac71-c7ef4b0a446a
Budweiser,Lager,Session IPA,Galaxy,1388 - Belgian Strong Ale,Caramel,29 IBU,8.0%,11.5°Blg,24cf2eea-b334-40f8-bd56-d5da6b6cf291
Carlsberg,Lager,Session IPA,Galaxy,WLP001 - California Ale,Chocolate,27 IBU,4.9%,17.1°Blg,5db08085-3b32-4ad8-b5bf-de23d33db48a
Guinness,Pilsner,Session IPA,Millennium,1056 - American Ale,Chocolate,34 IBU,9.0%,10.4°Blg,6aae6fbf-1a35-428f-9d72-ed1f2378fcf5
Carlsberg,Lager,Wheat Beer,Saaz,1388 - Belgian Strong Ale,Chocolate,59 IBU,5.5%,11.0°Blg,d4daf90e-92ec-411e-a8fd-cc67847b4c8b
Budweiser,Imperial Stout,Sour Ale,Saaz,W34/70 - Lager,Pilsner,66 IBU,8.3%,10.3°Blg,1de5f09a-10c6-4bc1-a7fd-3f5fd4628e60
Brewdog,Lager,Belgian Dubbel,Cascade,WLP001 - California Ale,Pilsner,62 IBU,5.2%,19.3°Blg,83110bd1-8c45-4d58-a7a9-71c74a4bfdec
Carlsberg,Imperial Stout,Session IPA,Mosaic,1056 - American Ale,Chocolate,70 IBU,7.1%,18.8°Blg,51266c9c-c77f-4afd-af22-4d3a14b7fa3f
Budweiser,Porter,Belgian Dubbel,Cascade,1388 - Belgian Strong Ale,Chocolate,28 IBU,5.5%,15.1°Blg,ae22a074-813a-4a50-b3da-cb6f880c82a9
Brewdog,Imperial Stout,Wheat Beer,Cascade,1056 - American Ale,Caramel,44 IBU,4.1%,19.7°Blg,052acbd1-43f7-4d59-8213-f91fafc0bf98
Heineken,Pale Ale,Wheat Beer,Galaxy,W34/70 - Lager,Munich,63 IBU,9.6%,10.6°Blg,c4c04ad5-18c7-4095-853e-0875496ee797
Carlsberg,Imperial Stout,Session IPA,Galaxy,WLP001 - California Ale,Pilsner,42 IBU,7.3%,10.8°Blg,9d460064-ec5a-4881-a01b-ea4b2dd36bbf
Guinness,Porter,Strong Ale,Millennium,WLP001 - California Ale,Pilsner,69 IBU,6.3%,11.1°Blg,ffbc1596-f012-4146-9161-0e26b261e429
Heineken,Imperial Stout,Wheat Beer,Cascade,1388 - Belgian Strong Ale,Victory,41 IBU,4.1%,15.4°Blg,12012cfa-1418-443c-ba71-a2685df8f16d
Budweiser,Pilsner,Strong Ale,Millennium,WLP001 - California Ale,Munich,61 IBU,8.9%,11.7°Blg,a4028cf7-f3fb-44f4-b4cb-eb3832b3a2fa
Guinness,Pilsner,Wheat Beer,Cascade,S04 - English Ale,Munich,46 IBU,9.2%,13.3°Blg,506020a3-79fd-444a-9c36-f6f9e9c41406
Brewdog,Lager,Session IPA,Cascade,1388 - Belgian Strong Ale,Munich,63 IBU,5.1%,10.5°Blg,ba18e60c-ad21-4a5b-9d12-ddbe1301cc4f
Guinness,Porter,Sour Ale,Saaz,S04 - English Ale,Munich,22 IBU,7.7%,13.1°Blg,46d228b2-a4f7-4d2b-954e-a34eda44265f
Budweiser,Pilsner,Belgian Dubbel,Mosaic,WLP001 - California Ale,Victory,54 IBU,8.3%,18.1°Blg,b51214d0-e547-4fee-8d14-9edc6ad2f307
Carlsberg,Pale Ale,Belgian Dubbel,Millennium,1388 - Belgian Strong Ale,Munich,40 IBU,8.9%,13.2°Blg,d50468f0-b34d-4c9f-8967-b3c955d69f4d
Brewdog,Pilsner,Wheat Beer,Cascade,S04 - English Ale,Pilsner,43 IBU,7.9%,16.4°Blg,ca5e9370-6fe5-4814-afea-9bdcc5e0f9c1
