brand,name,style,hop,yeast,malts,ibu,alcohol,blg,user_id
Heineken,Lager,Sour Ale,Saaz,1056 - American Ale,Munich,62 IBU,8.4%,12.7°Blg,a9e7f4c0-3d79-446b-b44e-55ae3ee05b9f
Carlsberg,Porter,Strong Ale,Cascade,1056 - American Ale,Chocolate,45 IBU,6.7%,19.5°Blg,1ff091de-d15c-480c-917f-9ed7442ad73e
Brewdog,Imperial Stout,Sour Ale,Mosaic,W34/70 - Lager,Caramel,66 IBU,8.7%,14.0°Blg,094bd1b3-540e-4129-9d58-8c11e31625f6
Guinness,Porter,Wheat Beer,Millennium,W34/70 - Lager,Victory,38 IBU,5.6%,12.2°Blg,91701ee9-5b0a-411c-82a6-112f3a0c1145
Brewdog,Pale Ale,Sour Ale,Galaxy,1056 - American Ale,Victory,42 IBU,7.0%,18.6°Blg,608f4b82-69f5-4c6e-8734-9b5d5b4c7788
Guinness,Imperial Stout,Sour Ale,Saaz,1388 - Belgian Strong Ale,Caramel,44 IBU,9.7%,11.9°Blg,9e410645-96ff-4964-93bf-53a1ea42252f
Guinness,Porter,Sour Ale,Millennium,WLP001 - California Ale,Munich,23 IBU,5.7%,17.5°Blg,15ecf9b6-769f-400e-8174-a1963254a5bd
Carlsberg,Lager,Sour Ale,Galaxy,1056 - American Ale,Munich,63 IBU,4.5%,13.6°Blg,1028627a-cb0f-4e34-84ed-f950a5f8f4a1
Heineken,Pale Ale,Session IPA,Millennium,1388 - Belgian Strong Ale,Chocolate,56 IBU,7.0%,17.6°Blg,54e08e9e-cf86-4a36-830f-306d1c030fec
Brewdog,Lager,Sour Ale,Cascade,1056 - American Ale,Victory,43 IBU,5.5%,14.9°Blg,c8f68cbf-cc2d-459a-8a43-803159dc69d4
Budweiser,Lager,Sour Ale,Millennium,S04 - English Ale,Victory,33 IBU,6.1%,17.8°Blg,75408989-3d96-453a-8820-4034967afe5f
Guinness,Porter,Sour Ale,Saaz,1388 - Belgian Strong Ale,Munich,34 IBU,9.5%,11.7°Blg,78bced13-a288-402f-bfc1-daa3821a9e06
Carlsberg,Lager,Wheat Beer,Mosaic,1056 - American Ale,Chocolate,57 IBU,5.5%,17.5°Blg,814a91eb-b265-4ab2-ab45-f483883090db
Heineken,Lager,Strong Ale,Galaxy,S04 - English Ale,Munich,20 IBU,9.3%,14.2°Blg,0cfd47b2-5724-4576-8dfc-af3cc54c8dd3
Guinness,Pilsner,Sour Ale,Cascade,W34/70 - Lager,Victory,59 IBU,6.8%,14.2°Blg,fb24c384-57b4-49cb-8b8f-744712ab3955
